id,x,y,author,dept,dept_id,mod_class
25,141.65527,1874.0574,"Uronis, Hope Elizabeth",Medicine,39,15
26,-761.41907,1370.145,"Morgan, Perri Anne",Community and Family Medicine,14,18
27,-739.1515,169.86052,"Olsen, Maren Karine",Biostatistics & Bioinformatics,9,6
28,-551.7316,1411.4055,"Pollak, Kathryn IIonka",Community and Family Medicine,14,18
29,-583.9072,2174.053,"Strand de Oliveira, Justine",Community and Family Medicine,14,7
30,-305.25284,1894.2583,"Tulsky, James Aaron",Medicine,39,15
31,-228.08762,2411.87,"LeBlanc, Thomas William",Medicine,39,15
32,941.6559,1394.5524,"Herndon II, James Emmett",Biostatistics & Bioinformatics,9,15
33,-43.10501,784.0089,"Lyerly, Herbert Kim",Surgery,68,15
34,-1262.0424,1467.5867,"Cox, Christopher Ethan",Medicine,39,3
35,-266.784,2072.3792,"Kamal, Arif H",Medicine,39,15
36,-86.44333,2014.187,"Hirsch, Bradford R",Medicine,39,15
37,74.61121,311.77484,"Seewaldt, Victoria Louise",Medicine,39,6
38,2073.5964,1010.12756,"Nelson, Kelly Carter",Dermatology,18,16
39,-1372.5874,-587.3006,"Hendrix, Cristina Cu",School of Nursing,63,5
40,-856.7433,29.53336,"Landerman, Lawrence Richard",Medicine,39,16
41,135.36465,-237.225,"Ginsburg, Geoffrey Steven",Medicine,39,1
42,1050.6628,1131.4845,"Blazer III, Dan German",Surgery,68,16
43,-1582.4845,-109.20279,"Blazer, Daniel German",Psychiatry & Behavioral Sciences,55,8
44,-390.7501,1244.6398,"Mosca, Paul Joseph",Surgery,68,3
45,141.9815,1522.5065,"Taylor Jr., Donald H.",Sanford School of Public Policy,61,15
46,71.21024,2019.2097,"Zafar, Syed Yousuf",Medicine,39,15
47,-108.836494,1923.6361,"Peppercorn, Jeffrey Matthew",Medicine,39,15
48,-205.34254,1810.6886,"Gradison, Margaret",Community and Family Medicine,14,1
49,-245.77452,1406.5526,"Flynn, Kathryn Eve",Psychiatry & Behavioral Sciences,55,15
50,-144.7542,1659.8119,"Porter, Laura Streamo",Psychiatry & Behavioral Sciences,55,15
51,-374.14447,1617.5479,"Weinfurt, Kevin Phillip",Psychiatry & Behavioral Sciences,55,1
52,563.7077,882.6053,"Salama, April Kelly Scott",Medicine,39,15
53,1892.672,1044.8014,"Selim, Maria Angelica",Pathology,47,16
54,-174.97952,904.6492,"Tyler, Douglas Scott",Surgery,68,3
55,-886.36914,1254.9475,"Curtis, Lesley Huntley",Medicine,39,15
56,288.49133,1858.3207,"Patz Jr., Edward F.",Radiology,58,7
57,-273.0935,1222.9037,"Schulman, Kevin Alan",Medicine,39,1
58,-2526.763,1789.0845,"O'Connor, Christopher Michael",Medicine,39,8
59,-1852.0153,1329.7183,"Rogers, Joseph G.",Medicine,39,8
60,-672.0134,-11.380101,"Koenig, Harold G.",Psychiatry & Behavioral Sciences,55,6
61,666.2413,377.2583,"Pruitt, Scott Knowles",Surgery,68,16
62,110.2771,1428.3962,"Scheri, Randall Paul",Surgery,68,15
63,-419.46344,1452.1583,"Bosworth, Hayden Barry",Medicine,39,15
64,-266.88086,-1709.9061,"Bartlett, John Alexander",Medicine,39,17
65,-345.72424,105.34151,"Zullig, Leah L",Medicine,39,18
66,-987.69275,1995.5173,"Berchuck, Andrew",Obstetrics and Gynecology,44,3
67,-1262.1544,1927.1112,"Havrilesky, Laura Jean",Obstetrics and Gynecology,44,3
68,-1094.4404,1848.6451,"Lee, Paula Sowon",Obstetrics and Gynecology,44,3
69,-1156.2048,1919.9047,"Secord, Angeles Alvarez",Obstetrics and Gynecology,44,3
70,-896.3561,1971.8875,"Valea, Fidel Arthur",Obstetrics and Gynecology,44,3
71,-2413.212,1592.3751,"Califf, Robert M.",Medicine,39,8
72,1141.3269,176.7911,"George, Daniel James",Medicine,39,4
73,1192.8324,85.60857,"Harrison, Michael Roger",Medicine,39,4
74,-97.29434,1428.0148,"Somers, Tamara J.",Psychiatry & Behavioral Sciences,55,15
75,-989.372,-550.7409,"Abou-Donia, Mohamed Bahie",Pharmacology & Cancer Biology,49,6
76,102.0892,-615.91296,"Abraham, Dennis M",Medicine,39,11
77,1523.8556,377.34708,"Bursac, Nenad",Biomedical Engineering,8,0
78,80.708244,-366.18924,"Rockman, Howard Allan",Medicine,39,11
79,245.82138,-807.56824,"Wolf, Matthew Joseph",Medicine,39,11
80,274.03186,-601.15576,"Mao, Lan",Medicine,39,11
81,896.8692,-1119.0048,"Marchuk, Douglas Alan",Molecular Genetics and Microbiology,40,11
82,1599.3547,-472.6569,"Abraham, Soman Ninan",Pathology,47,2
83,1936.6038,-774.2882,"Staats, Herman Ford",Pathology,47,2
84,1854.0011,-38.70881,"Foster, William Michael",Medicine,39,9
85,995.7502,-2198.4531,"Sempowski, Gregory David",Medicine,39,17
86,1633.0623,-291.90173,"Hollingsworth II, John William",Medicine,39,9
87,1460.9268,-1893.582,"Stripp, Barry Raymond",Medicine,39,17
88,1116.0815,103.180405,"Leong, Kam",Biomedical Engineering,8,0
89,1755.6097,-132.68857,"Kraft, Monica",Medicine,39,9
90,1461.8341,-701.2792,"Ledford, Julie",Medicine,39,9
91,-952.4845,1073.4823,"Lugogo, Njira Lucia",Medicine,39,8
92,3203.9634,1531.6776,"Hale, Laura Pope",Pathology,47,12
93,3500.2935,1831.6311,"Karhausen, Jorn",Anesthesiology,2,12
94,675.73773,-649.4862,"Ma, Qing",Anesthesiology,2,13
95,1837.9845,-209.43762,"Gunn, Michael Dee",Medicine,39,9
96,454.58014,784.36725,"Hartwig, Matthew",Surgery,68,9
97,1848.8591,352.1215,"Lin, Shu Shiuh-Shi",Surgery,68,9
98,1231.1395,-310.3609,"Parker, William",Surgery,68,9
99,-1504.9535,-59.64984,"Acheson, Shawn K.",Psychiatry & Behavioral Sciences,55,18
100,-2252.3477,-1035.7454,"Beckham, Jean Crowell",Psychiatry & Behavioral Sciences,55,18
101,-2263.6958,-1129.7167,"Calhoun, Patrick Shields",Psychiatry & Behavioral Sciences,55,18
102,-1423.6226,-963.778,"Kuhn, Cynthia Moreton",Pharmacology & Cancer Biology,49,18
103,-1566.4171,107.03803,"Swartzwelder, Harry Scott",Psychiatry & Behavioral Sciences,55,18
104,-1528.7853,21.553225,"Wilson Jr., Wilkie Andrew",Social Science Research Institute,65,18
105,-841.7879,-1304.6194,"Dedert, Eric",Psychiatry & Behavioral Sciences,55,18
106,-1393.3076,142.65317,"Moore, Scott Daniel",Psychiatry & Behavioral Sciences,55,18
107,-1502.0988,171.26369,"Fleming, Rebekah",Psychiatry & Behavioral Sciences,55,18
108,-1524.257,941.017,"Gierisch, Jennifer M.",Medicine,39,8
109,-1308.1014,-667.1384,"Levin, Edward Daniel",Psychiatry & Behavioral Sciences,55,18
110,-1795.2267,-611.1255,"Rezvani, Amir H.",Psychiatry & Behavioral Sciences,55,18
111,595.5264,225.66493,"Bennett, Ellen Ruth",Neurology,43,4
112,929.37396,-909.49713,"James, Michael Lucas",Anesthesiology,2,4
113,-14.11577,336.06332,"Lascola, Christopher David",Radiology,58,4
114,461.06543,-703.1052,"Laskowitz, Daniel Todd",Neurology,43,4
115,1421.1343,-1037.5648,"Vitek, Michael P.",Neurology,43,4
116,961.1491,-475.26315,"Wang, Haichen",Neurology,43,4
117,-1247.4187,-924.20734,"Madison, Roger D.",Surgery,68,18
118,-1198.3412,16.974993,"Klein, Rebecca Christine",Psychiatry & Behavioral Sciences,55,18
119,2.2283714,-317.28455,"Achneck, Hardean",Surgery,68,13
120,-67.04204,-454.78497,"Truskey, George A.",Biomedical Engineering,8,13
121,-489.60748,193.10092,"Allen, Jason David",Community and Family Medicine,14,8
122,-945.1954,1326.7852,"Lawson, Jeffrey Harold",Surgery,68,3
123,-1272.3899,877.7696,"Milano, Carmelo Alessio",Surgery,68,8
124,25.884216,-578.4472,"Reichert, William M.",Biomedical Engineering,8,13
125,-334.1423,298.29742,"Adair, Bill",Sanford School of Public Policy,61,18
126,1147.9984,709.2535,"Adam, Soheir Saeed",Medicine,39,15
127,-2507.312,1992.0077,"Ortel, Thomas Lee",Medicine,39,8
128,-1585.4587,727.50714,"Williams Jr., John Wiley",Medicine,39,8
129,664.46027,59.368206,"Adams Jr., Samuel Bruce",Orthopaedics,46,8
130,478.83505,47.890003,"DeOrio, James Keith",Orthopaedics,46,8
131,589.6921,-16.01534,"Easley, Mark Erik",Orthopaedics,46,8
132,628.73956,-3.4814968,"Nunley II, James Albert",Orthopaedics,46,8
133,1807.0148,-3230.6924,"Stinnett, Sandra Sue",Biostatistics & Bioinformatics,9,12
134,1932.1843,429.0441,"Setton, Lori A.",Biomedical Engineering,8,0
135,762.31085,125.96381,"Queen, Robin Marie",Orthopaedics,46,8
136,1239.5677,173.06413,"Bolognesi, Michael Paul",Orthopaedics,46,0
137,1865.6577,526.4751,"Toth, Alison Patricia",Orthopaedics,46,0
138,933.0604,534.3629,"Kraus, Virginia Byers",Medicine,39,0
139,179.78139,-402.57404,"Schmitt, Daniel Oliver",Evolutionary Anthropology,29,6
140,569.35693,156.067,"Parekh, Selene Gunvant",Orthopaedics,46,8
141,374.93655,-48.88039,"Butler, Robert John",Community and Family Medicine,14,8
142,-177.64421,373.52988,"Adams, David John",Medicine,39,8
143,-126.52157,984.6597,"Driscoll, Timothy Alan",Pediatrics,48,8
144,1199.5479,-85.96975,"Nixon, Andrew Benjamin",Medicine,39,4
145,-1008.97723,167.51494,"Adams, Martha Bennett",Medicine,39,18
146,-698.73773,1062.88,"Grambow, Steven C.",Biostatistics & Bioinformatics,9,18
147,-1045.0165,417.32373,"Oddone, Eugene Zaverio",Medicine,39,18
148,-1599.7799,1317.2052,"Peterson, Eric David",Medicine,39,8
149,-2218.5957,1519.9679,"Shah, Bimal Ramesh",Medicine,39,8
150,2110.0808,866.20703,"Adamson, David Cory",Surgery,68,16
151,1352.4012,1444.8663,"McLendon, Roger Edwin",Pathology,47,15
152,2089.5059,1096.8646,"Hoffman, Maureane Richardson",Pathology,47,16
153,1013.1399,-285.83228,"Turner, Dennis Alan",Surgery,68,18
154,1273.5991,1124.4873,"Bigner, Darell Doty",Pathology,47,15
155,-292.45065,-337.2955,"Gregory, Simon Gray",Medicine,39,8
156,1126.8085,1689.5767,"Friedman, Allan Howard",Surgery,68,15
157,2292.353,866.179,"Lark, Amy Langdon",Pathology,47,16
158,1151.6481,1273.4216,"Kirkpatrick, John P.",Radiation Oncology,57,15
159,380.59564,1826.4229,"Kranz, Peter George",Radiology,58,7
160,673.89105,1350.0015,"Cummings, Thomas John",Pathology,47,7
161,1789.2216,2472.2512,"Adamson, Justus D",Radiation Oncology,57,15
162,1719.4957,2312.035,"Wu, Qiuwen",Radiation Oncology,57,15
163,1736.0527,2121.2007,"Yin, Fang-Fang",Radiation Oncology,57,15
164,1909.8281,2324.8457,"Bowsher, James E.",Radiation Oncology,57,15
165,1865.5251,2411.0046,"Cai, Jing",Radiation Oncology,57,15
166,1606.6976,2457.8384,"Chang, Zheng",Radiation Oncology,57,15
167,1639.3336,2345.8906,"Ren, Lei",Radiation Oncology,57,15
168,1960.2921,2410.6821,"Wang, Zhiheng",Radiation Oncology,57,15
169,1776.6921,2379.0833,"Yoo, Sua",Radiation Oncology,57,15
170,1220.4961,1948.9305,"Horton, Janet Knight",Radiation Oncology,57,15
171,1442.0242,1881.7339,"Palta, Manisha",Radiation Oncology,57,15
172,-586.04956,1701.9608,"Chino, Junzo Paul",Radiation Oncology,57,3
173,1875.6255,1805.6993,"Craciunescu, Oana",Radiation Oncology,57,15
174,1813.0476,2314.8462,"Oldham, Mark",Radiation Oncology,57,15
175,-293.25287,1804.9436,"Yan, Hui",Radiation Oncology,57,1
176,-1910.7891,-305.9865,"Adcock, Rachel Alison",Psychiatry & Behavioral Sciences,55,18
177,-1515.6633,-853.8435,"LaBar, Kevin S.",Psychology and Neuroscience,56,18
178,-452.60522,-1461.804,"Huettel, Scott",Psychology and Neuroscience,56,18
179,-388.83548,-1588.7787,"Mitroff, Stephen",Psychology and Neuroscience,56,11
180,-967.597,-464.56525,"Keefe, Richard S.E.",Psychiatry & Behavioral Sciences,55,8
181,-1451.6938,-799.7868,"Kollins, Scott Haden",Psychiatry & Behavioral Sciences,55,18
182,-3930.922,-3048.922,"Addington, Nicolas Michael",Mathematics,36,6
183,-3190.7217,-2624.9453,"Aspinwall, Paul Stephen",Mathematics,36,6
184,8270.789,-368.11545,"Adelino, Manuel Neves",Fuqua School of Business,30,14
185,-527.59143,1220.2032,"Adibe, Obinna Ogochukwu",Surgery,68,8
186,-139.41653,-323.45944,"Agarwal, Pankaj K.",Computer Science,15,15
187,-301.5181,23.476053,"Yang, Jun",Computer Science,15,15
188,-143.98074,-1166.5413,"Clark, James S.",Environmental Sciences and Policy,28,6
189,-772.50397,-888.14075,"Gelfand, Alan",Statistical Science,67,6
190,-1026.7627,-843.42664,"Ahmed, Mohammad Waseem",Physics,51,6
191,-1083.7512,-867.96375,"Wu, Ying",Physics,51,6
192,-1115.4615,-718.01605,"Tornow, Werner",Physics,51,6
193,997.8414,-1259.3928,"Ahn, Seungkirl",Medicine,39,11
194,687.6676,-1083.935,"Lefkowitz, Robert J.",Medicine,39,11
195,999.09424,-1147.9735,"Shenoy, Sudha Kaup",Medicine,39,11
196,583.27655,-855.6674,"Xiao, Kevin",Medicine,39,11
197,592.9768,-2309.6758,"Oas, Terrence Gilbert",Biochemistry,6,11
198,-3149.665,1066.399,"Ake III, George Simpson",Psychiatry,54,5
199,-3048.4897,1083.7147,"Briggs-King, Ernestine Cabady",Psychiatry,54,5
200,-2831.1177,870.90894,"Fairbank, John A.",Psychiatry,54,5
201,-3075.9763,989.9888,"Gerrity, Ellen Terese",Psychiatry,54,5
202,-2402.5046,570.2247,"Amaya-Jackson, Lisa M.",Psychiatry,54,5
203,-1457.5117,249.53377,"Murphy, Robert A.",Psychiatry,54,6
204,2770.8726,-951.13617,"Alam, S. Munir",Medicine,39,2
205,2381.7388,-901.0669,"Denny, Thomas Norton",Medicine,39,2
206,2628.4856,-858.01434,"Haynes, Barton Ford",Medicine,39,2
207,2396.2717,-782.0306,"Kelsoe, Garnett H.",Immunology,33,2
208,2527.269,-912.26373,"Liao, Hua-Xin",Medicine,39,2
209,216.57372,332.3765,"McClain, Micah Thomas",Medicine,39,1
210,2488.6199,-743.5866,"Moody, Michael Anthony",Pediatrics,48,2
211,2542.5115,-820.72797,"Tomaras, Georgia Doris",Surgery,68,2
212,726.5001,-506.8237,"Vandergrift, Nathan A.",Medicine,39,2
213,755.09625,354.15118,"Walter Jr., Emmanuel Benjamin",Pediatrics,48,2
214,2144.9138,-522.6572,"Whitesides, John Franklin",Medicine,39,2
215,274.2674,57.552387,"Woods, Christopher Wildrick",Medicine,39,1
216,2459.2812,-972.6517,"Yu, Jae-Sung",Medicine,39,2
217,2748.4487,-855.3786,"Montefiori, David Charles",Surgery,68,2
218,2659.7598,-682.68866,"Shen, Xiaoying",Medicine,39,2
219,2768.7468,-764.06885,"Ferrari, Guido",Surgery,68,2
220,2460.4912,-854.6388,"Bonsignori, Mattia",Medicine,39,2
221,2600.972,-962.6582,"Verkoczy, Laurent Karl",Medicine,39,2
222,2671.1692,-780.0277,"Gao, Feng",Medicine,39,2
223,2584.7205,-740.99554,"Permar, Sallie Robey",Pediatrics,48,2
224,-14.679237,-2194.074,"Zauscher, Stefan",Mechanical Engineering and Materials Science,37,11
225,1006.96783,-558.3496,"Spicer, Leonard D.",Radiology,58,9
226,384.21725,-1708.4023,"Erickson, Harold Paul",Cell Biology,10,11
227,408.19183,-1588.6256,"Ohashi, Tomoo",Cell Biology,10,11
228,2681.5862,-916.7574,"LaBranche, Celia Crane",Surgery,68,2
229,720.9321,-2187.8972,"Donald, Bruce Randall",Computer Science,15,11
230,-89.709206,-1633.4546,"Alberts, Susan C.",Biology,7,18
231,-718.816,-1126.0844,"Morris, William F.",Biology,7,6
232,-179.76321,-1657.49,"Pusey, Anne",Evolutionary Anthropology,29,18
233,265.93124,-1456.293,"Tung, Jenny",Evolutionary Anthropology,29,18
234,482.50546,-1387.3882,"Wray, Gregory Allan",Biology,7,17
235,-107.72223,-1246.5593,"Mukherjee, Shayan",Statistical Science,67,6
236,121.48929,-906.00006,"Albertson, John D.",Civil and Environmental Engineering,12,11
237,-85.13518,-894.82874,"Katul, Gabriel G.",Environmental Sciences and Policy,28,11
238,77.68774,-989.243,"Marani, Marco",Earth and Ocean Sciences,23,11
239,-930.2613,-998.2108,"Albright, Elizabeth A",Environmental Sciences and Policy,28,6
240,56.01887,-2128.4163,"Alexander, Barbara Dudley",Medicine,39,17
241,905.5264,-2324.51,"Perfect, John Robert",Medicine,39,17
242,-388.56708,-2003.1879,"Reller, Lyman Barth",Pathology,47,17
243,190.85939,-2217.2656,"Schell, Wiley Alexander",Medicine,39,17
244,870.06683,-2449.1797,"Johnson, Melissa DePaoli",Medicine,39,17
245,-449.61176,956.8627,"Smith, Phillip Brian",Pediatrics,48,8
246,155.7804,-136.2133,"Zaas, Aimee Kirsch",Medicine,39,1
247,-294.46252,992.3055,"Benjamin Jr., Daniel Kelly",Pediatrics,48,8
248,690.1136,-2459.1377,"Drew, Richard Howard",Medicine,39,17
249,1308.9962,235.9818,"Costa, Sylvia Fernandes de Castro",Medicine,39,9
250,829.4008,319.19287,"Howell, David Noble",Pathology,47,9
251,372.05423,-1444.1239,"Miller, Sara Elizabeth",Pathology,47,11
252,992.99304,403.039,"Smith, Stephen Richard",Medicine,39,9
253,-124.84224,168.72711,"Horan, Jennifer",Medicine,39,8
254,-2821.9192,1844.1367,"Alexander, John Hunter Peel",Medicine,39,8
255,-2340.0378,1654.7194,"Becker, Richard Clinton",Medicine,39,8
256,-2517.9797,1588.9346,"Povsic, Thomas Joseph",Medicine,39,8
257,-2740.3137,1892.3207,"Lopes, Renato Delascio",Medicine,39,8
258,-2304.8352,1445.9745,"Granger, Christopher Bull",Medicine,39,8
259,-2498.2615,1687.9586,"Rao, Sunil Vadlakonda",Medicine,39,8
260,-2467.29,1900.6101,"Ohman, Erik Magnus",Medicine,39,8
261,-2072.8235,1413.1832,"Piccini Sr., Jonathan Paul",Medicine,39,8
262,-1932.8387,1071.7427,"Hasselblad, Victor",Biostatistics & Bioinformatics,9,8
263,-909.45844,2061.9111,"Levy, Jerrold Henry",Anesthesiology,2,3
264,-1871.9048,1560.161,"Smith, Peter Kent",Surgery,68,8
265,-2783.3438,1753.8708,"Newby, Laura Kristin",Medicine,39,8
266,-1881.5145,905.592,"Krucoff, Mitchell Wolfe",Medicine,39,8
267,-1286.1893,2126.3176,"Mathew, Joseph P.",Anesthesiology,2,3
268,-1085.1008,2651.066,"Newman, Mark Franklin",Anesthesiology,2,3
269,-1176.1112,2279.0305,"Podgoreanu, Mihai V.",Anesthesiology,2,3
270,-2103.679,1739.7167,"Al-Khalidi, Hussein Rashid",Biostatistics & Bioinformatics,9,8
271,2152.895,-620.26355,"Green, Jennifer Brigitte",Medicine,39,2
272,-1908.0327,1247.5043,"Thomas, Laine Elliott",Biostatistics & Bioinformatics,9,8
273,-1805.5089,1492.231,"Glower Jr., Donald D.",Surgery,68,8
274,-525.7888,1777.508,"Wang, Andrew",Medicine,39,1
275,-2039.4717,1326.1636,"Al-Khatib, Sana Mustapha",Medicine,39,8
276,-2403.356,1722.985,"Patel, Manesh Raman",Medicine,39,8
277,-1706.0742,1359.2526,"Brennan, J. Matthew",Medicine,39,8
278,-1214.0688,1243.4418,"O'Brien, Sean Michael",Biostatistics & Bioinformatics,9,3
279,-2386.297,1491.0337,"Alexander, Karen Patton",Medicine,39,8
280,-2647.5352,1893.9469,"Roe, Matthew Todd",Medicine,39,8
281,-2604.8477,1985.5945,"Wang, Yu-Ping",Medicine,39,8
282,-1382.3743,805.34906,"Atwater, Brett David",Medicine,39,8
283,-336.6385,390.0981,"Bahnson, Tristram Dan",Medicine,39,8
284,-1280.0465,741.7483,"Daubert, James Patrick",Medicine,39,8
285,-1358.9299,1259.0791,"Harrison, Robert William",Medicine,39,3
286,-1152.6108,732.43164,"Jones, William Schuyler",Medicine,39,8
287,-1120.3489,1275.0457,"Daneshmand, Mani Ali",Surgery,68,3
288,-2132.4863,1339.7766,"Velazquez, Eric Jose",Medicine,39,8
289,-2688.3938,1737.9103,"Tricoci, Pierluigi",Medicine,39,8
290,-991.21063,1244.085,"Anstrom, Kevin J.",Biostatistics & Bioinformatics,9,3
291,-469.93735,1295.1373,"Chow, Shein-Chung",Biostatistics & Bioinformatics,9,1
292,-2165.7937,1825.8595,"Lee, Kerry L.",Biostatistics & Bioinformatics,9,8
293,-769.92615,1106.4152,"Pencina, Michael J",Biostatistics & Bioinformatics,9,1
294,-1288.718,1321.0437,"Mathews, Robin",Medicine,39,18
295,-1808.4135,1240.6527,"Allen LaPointe, Nancy Marie",Medicine,39,8
296,-1616.137,1435.8369,"Melloni, Chiara",Medicine,39,8
297,-1648.0687,71.6478,"Bettger, Janet Prvu",School of Nursing,63,5
298,-1734.7474,988.0351,"Coeytaux, Remy Rene",Community and Family Medicine,14,8
299,-1352.7731,423.94098,"Dolor, Rowena Joy",Medicine,39,8
300,-957.7311,44.399628,"Graffagnino, Carmelo",Neurology,43,8
301,-1106.2828,215.35161,"Holsinger, Tracey C.",Psychiatry & Behavioral Sciences,55,8
302,-1977.87,1418.3633,"Kong, David Franklin",Medicine,39,8
303,-377.39017,1745.1075,"Kramer, Judith Mae",Medicine,39,1
304,-2309.1208,1561.9745,"Xian, Ying",Medicine,39,8
305,-984.49475,351.26312,"Al-Hegelan, Mashael",Medicine,39,6
306,2366.0212,86.51174,"Tighe, Robert Matthew",Medicine,39,9
307,-1314.0071,1679.4342,"Cheifetz, Ira Marc",Pediatrics,48,3
308,-983.38434,683.10675,"Ozment, Caroline Pinson",Pediatrics,48,3
309,-1360.0477,1600.0991,"Rehder, Kyle Jason",Pediatrics,48,3
310,-1216.5114,1770.5665,"Turner, David Ashley",Pediatrics,48,3
311,-1059.3641,-384.751,"Huang, Yuh-Chin Tony",Medicine,39,6
312,-1471.3419,1754.2375,"MacIntyre Jr., Neil Ross",Medicine,39,3
313,340.56464,-576.09344,"Ali-Osman, Francis",Surgery,68,13
314,-1258.9021,2025.593,"Ilyasova, Dora",Community and Family Medicine,14,3
315,557.2627,-687.94446,"Paschen, Wulf",Anesthesiology,2,13
316,422.80905,-628.8177,"Pearlstein, Robert D.",Surgery,68,13
317,509.09622,-618.965,"Yang, Wei",Anesthesiology,2,13
318,1493.9885,15.170379,"Dewhirst, Mark Wesley",Radiation Oncology,57,9
319,-2342.6658,1813.8545,"Hernandez, Adrian Felipe",Medicine,39,8
320,-2225.097,1376.8932,"Thomas, Kevin Lindsey",Medicine,39,8
321,-1791.3499,1395.7299,"Jones, Robert H.",Surgery,68,8
322,-1747.4624,1562.5442,"Mark, Daniel Benjamin",Medicine,39,8
323,-1831.2264,995.8537,"Schmidler, Gillian Denise  Sanders",Medicine,39,8
324,-2232.026,1643.0238,"Kim, Raymond J.",Medicine,39,8
325,-1969.462,1503.8195,"Douglas, Pamela Susan",Medicine,39,8
326,-1083.0011,831.04596,"Kosinski, Andrzej Stanislaw",Biostatistics & Bioinformatics,9,8
327,-2694.4785,1993.3828,"Eapen, Zubin John",Medicine,39,8
328,-1367.7416,695.72626,"Hranitzky, Patrick M.",Medicine,39,8
329,-1169.2546,506.47458,"Koontz, Jason",Medicine,39,8
330,-513.89374,346.95227,"Shah, Svati Hasmukh",Medicine,39,8
331,-1995.0062,871.59064,"Lokhnygina, Yuliya Vladimirovna",Biostatistics & Bioinformatics,9,8
332,-1643.1431,1115.8309,"Jackson, Kevin Patrick",Medicine,39,8
333,-1451.8597,727.92224,"Hegland, Donald Dale",Medicine,39,8
334,-1115.5991,34.989143,"Anderson, Monique",Medicine,39,17
335,-1645.3241,930.31177,"Chatterjee, Ranee",Medicine,39,8
336,-1224.3851,-254.70021,"Dupre, Matthew Egan",Community and Family Medicine,14,6
337,287.99884,875.4248,"Pun, Patrick Hank",Medicine,39,9
338,-1213.6556,1376.6606,"Eisenstein, Eric Leo",Medicine,39,3
339,-704.319,1306.1226,"Johnson, Frederick Salvatore",Community and Family Medicine,14,3
340,1018.6833,-890.30853,"Allen, Andrew Scott",Biostatistics & Bioinformatics,9,4
341,1045.2662,-803.8144,"Goldstein, David Benjamin",Molecular Genetics and Microbiology,40,4
342,1253.4403,-900.5419,"Heinzen-Cox, Erin Lynne",Medicine,39,4
343,1190.7808,-849.54346,"Need, Anna Christina",Medicine,39,4
344,1191.6581,-536.5563,"Shashi, Vandana",Pediatrics,48,11
345,-607.52985,-1472.4208,"Fowler Jr., Vance Garrison",Medicine,39,17
346,2221.4294,225.14934,"Allen, Barry W.",Anesthesiology,2,9
347,2008.6748,-70.74042,"Piantadosi, Claude Anthony",Medicine,39,9
348,-631.9413,144.9373,"Kraus, William Erle",Medicine,39,8
349,591.4388,286.60364,"Dahl, Jeremy",Biomedical Engineering,8,4
350,689.7793,283.5902,"Trahey, Gregg E.",Biomedical Engineering,8,4
351,14.3848,266.62656,"Li, Yi-Ju",Biostatistics & Bioinformatics,9,13
352,-411.0626,260.06287,"Lien, Lillian Frances",Medicine,39,8
353,-877.7472,909.59155,"Lin, Pao-Hwa",Medicine,39,18
354,752.61536,-197.69832,"Svetkey, Laura Pat",Medicine,39,2
355,469.46677,867.91394,"Blackwell, Kimberly Lynn",Medicine,39,15
356,261.02847,1740.1532,"Kimmick, Gretchen Genevieve",Medicine,39,15
357,410.34583,1209.2982,"Marcom, Paul Kelly",Medicine,39,15
358,1543.7906,2294.974,"Turkington, Timothy Garvey",Radiology,58,15
359,-221.60428,176.4497,"Pieper, Carl F.",Biostatistics & Bioinformatics,9,8
