Id	Name	Department
386	"Murtha, Amy Patricia"	Obstetrics and Gynecology
387	"Allingham, Robert Rand"	Ophthalmology
388	"Challa, Pratap"	Ophthalmology
389	"Herndon Jr., Leon Walker"	Ophthalmology
390	"Liu, Yutao"	Medicine
391	"Katsanis, Nicholas"	Cell Biology
392	"Klintworth, Gordon Kenneth"	Pathology
393	"Bowes Rickman, Catherine"	Ophthalmology
394	"Asrani, Sanjay Girdhari"	Ophthalmology
395	"Klitzman, Bruce"	Surgery
396	"Rosdahl, Jullia Ann"	Ophthalmology
397	"Chiba-Falek, Ornit"	Neurology
398	"Roses, Allen D."	Neurology
399	"Welsh-Bohmer, Kathleen Anne"	Psychiatry & Behavioral Sciences
400	"Whitfield, Keith E."	Psychology and Neuroscience
401	"McKinnon, Stuart James"	Ophthalmology
402	"Muir, Kelly Walton"	Ophthalmology
403	"Young, Terri Lois"	Ophthalmology
404	"Stamer, W Daniel"	Ophthalmology
405	"Oh, Edwin"	Neurology
406	"Alman, Benjamin Aaron"	Orthopaedics
407	"Almekinders, Louis Cornelis"	Orthopaedics
408	"Alspaugh II, James Andrew"	Medicine
409	"Cox, Gary Matthew"	Medicine
410	"Stout, Jason Eric"	Medicine
411	"Beese, Lorena Sue"	Biochemistry
412	"Hellinga, Homme Wytzes"	Biochemistry
413	"Dietrich, Fred Samuel"	Molecular Genetics and Microbiology
414	"Altomare, Ivy Paige"	Medicine
415	"Blobe, Gerard Conrad"	Medicine
416	"Hsu, Shiao-Wen David"	Medicine
417	"Hurwitz, Herbert Ira"	Medicine
418	"Morse, Michael Aaron"	Medicine
419	"Sutton, Linda Marie"	Medicine
420	"Amaldoss, Wilfred"	Fuqua School of Business
421	"Dodge, Kenneth A."	Sanford School of Public Policy
422	"Ambrus, Attila"	Economics
423	"Ames, Warwick Aubrey"	Anesthesiology
424	"Hill, Kevin Dennis"	Pediatrics
425	"Jooste, Edmund Hilton"	Anesthesiology
426	"Amundsen, Cindy Louise"	Obstetrics and Gynecology
427	"Grill, Warren M."	Biomedical Engineering
428	"Webster, George David"	Surgery
429	"Siddiqui, Nazema Yusuf"	Obstetrics and Gynecology
430	"Weidner, Alison Catherine"	Obstetrics and Gynecology
431	"Visco, Anthony Gabriele"	Obstetrics and Gynecology
432	"Kawasaki, Amie"	Obstetrics and Gynecology
433	"Krystal, Andrew Darrell"	Psychiatry & Behavioral Sciences
434	"Preud' homme, Xavier A."	Psychiatry & Behavioral Sciences
435	"Ananat, Elizabeth Oltmans"	Sanford School of Public Policy
436	"Gassman-Pines, Anna"	Sanford School of Public Policy
437	"Gibson-Davis, Christina M."	Sanford School of Public Policy
438	"Anderson, Deverick John"	Medicine
439	"Cunningham, Coleen Kathryn"	Pediatrics
440	"Hendershot, Edward Ferguson"	Medicine
441	"Sangvai, Devdutta Gangadhar"	Community and Family Medicine
442	"Tsalik, Ephraim"	Medicine
443	"Chen, Luke Francis"	Medicine
444	"Sexton, Daniel John"	Medicine
445	"Wolfe, Cameron Robert"	Medicine
446	"Schmader, Kenneth Edwin"	Medicine
447	"Davis Jr., Robert Duane"	Surgery
448	"Onaitis, Mark William"	Surgery
449	"Snyder, Laurie Dee"	Medicine
450	"Moehring, Rebekah"	Medicine
451	"Ming, David Yung"	Medicine
452	"Vaslef, Steven Nicholas"	Surgery
453	"Harrison, John Kevin"	Medicine
454	"Joyce, Maria Josephine"	Medicine
455	"Anderson, Kristin Ann"	Pharmacology & Cancer Biology
456	"Hirschey, Matthew"	Medicine
457	"Newgard, Christopher Bang"	Pharmacology & Cancer Biology
458	"Stevens, Robert David"	Medicine
459	"Anderson, Ruth A."	School of Nursing
460	"Bailey Jr., Donald Etheridge"	School of Nursing
461	"Docherty, Sharron Lee"	School of Nursing
462	"McConnell, Eleanor Schildwachter"	School of Nursing
463	"Short, Nancy Munn"	School of Nursing
464	"Corazzini, Kirsten N"	School of Nursing
465	"Colon-Emeric, Cathleen Sellner"	Medicine
466	"Granger, Bradi Bartrug"	School of Nursing
467	"Galanos, Anthony Nicholas"	Medicine
468	"Day, Lisa J"	School of Nursing
469	"Pinheiro, Sandro Oliveira"	Medicine
470	"Steinhauser, Karen E."	Medicine
471	"Andolsek, Kathryn Marijoan"	Community and Family Medicine
472	"Frush, Karen Sue Hamilton"	Pediatrics
473	"Griffith, Brian Carey"	Medicine
474	"Stephany, Alyssa Marie"	Pediatrics
475	"Dzau, Victor J."	Medicine
476	"Murphy, Gwendolyn Curtis"	Community and Family Medicine
477	"Nagler, Alisa"	Medical Education
478	"Weinerth, John Louis"	Surgery
479	"Boggan, Joel"	Medicine
480	"Andrews, Nancy Catherine"	Pediatrics
481	"Angold, Adrian Christopher"	Psychiatry
482	"Copeland, William Everett"	Psychiatry
483	"Costello, Elizabeth Jane"	Psychiatry
484	"Egger, Helen Link"	Psychiatry
485	"Erkanli, Alaattin"	Biostatistics & Bioinformatics
486	"Patkar, Ashwin Anand"	Psychiatry & Behavioral Sciences
487	"Angrist, Misha"	Social Science Research Institute
488	"Davis, Erica Ellen"	Pediatrics
489	"Jiang, Yong-Hui"	Pediatrics
490	"Kawamoto, Kensaku"	Community and Family Medicine
491	"Lobach, David Franklin"	Community and Family Medicine
492	"Olsen, Elise Arline"	Dermatology
493	"Felker, Gary Michael"	Medicine
494	"Patel, Uptal Dinesh"	Medicine
495	"Cowper, Patricia Agnes"	Medicine
496	"Chu, Vivian Hou"	Medicine
497	"Corey, Gordon Ralph"	Medicine
498	"Crowley, Anna Lisa Chamis"	Medicine
499	"Holland, Thomas Lawrence"	Medicine
500	"Samad, Zainab"	Medicine
501	"Morrison, Lake Daniel"	Medicine
502	"Sundy, John Sargent"	Medicine
503	"Reed, Shelby Derene"	Medicine
504	"Anthony, Kelly Kosobucki"	Psychiatry
505	"Schanberg, Laura Eve"	Pediatrics
506	"Bonner, Melanie Jean"	Psychiatry
507	"Anton, James J."	Fuqua School of Business
508	"Lewis, Tracy R."	Fuqua School of Business
509	"Appelbaum, Lawrence Gregory"	Psychiatry & Behavioral Sciences
510	"Woldorff, Marty G."	Psychiatry & Behavioral Sciences
511	"Applegate, Katherine Lynn"	Psychiatry & Behavioral Sciences
512	"Grant, John Palmer"	Surgery
513	"Friedman, Kelli E."	Psychiatry & Behavioral Sciences
514	"Portenier, Dana Dale"	Surgery
515	"Aquino, Wilkins"	Civil and Environmental Engineering
516	"Arcasoy, Murat Osman"	Medicine
517	"Boswell, Elizabeth Louise"	Pathology
518	"Wang, Endi"	Pathology
519	"Arce, Ayana T"	Physics
520	"Oh, Seog"	Physics
521	"Kotwal, Ashutosh V."	Physics
522	"Goshaw, Alfred T."	Physics
523	"Kruse, Mark Charles"	Physics
524	"Archer, Gerald Edward"	Surgery
525	"Desjardins, Annick"	Neurology
526	"Friedman, Henry Seth"	Surgery
527	"Sampson, John Howard"	Surgery
528	"Nair, Smita Kesavan"	Surgery
529	"Reap, Elizabeth"	Surgery
530	"Tedder, Thomas Fletcher"	Immunology
531	"Dannull, Jens O."	Surgery
532	"Kuan, Chien-Tsun"	Pathology
533	"Weinhold, Kent James"	Surgery
534	"Arcidiacono, Peter S."	Economics
535	"Khan, Shakeeb"	Economics
536	"Vigdor, Jacob L."	Sanford School of Public Policy
537	"Hotz, V. Joseph"	Economics
538	"Arepally, Gowthami Morey"	Medicine
539	"Wiesner, Mark"	Civil and Environmental Engineering
540	"Welsby, Ian James"	Anesthesiology
541	"Palmer Jr., Scott Michael"	Medicine
542	"Ariely, Dan"	Fuqua School of Business
543	"Luce, Mary Frances"	Fuqua School of Business
544	"Cohen, Harvey Jay"	Medicine
545	"Whitson, Heather Elizabeth"	Medicine
546	"Huber, Joel C."	Fuqua School of Business
547	"Shah, Ankoor"	Medicine
548	"Arlotto, Alessandro"	Fuqua School of Business
549	"Armaleo, Daniele"	Biology
550	"Lutzoni, Francois M."	Biology
551	"Armstrong, Andrew John"	Medicine
552	"Garcia-Blanco, Mariano Agustin"	Molecular Genetics and Microbiology
553	"Madden, John Francis"	Pathology
554	"Freedland, Stephen Jay"	Surgery
555	"Koontz, Bridget Fey"	Radiation Oncology
556	"Lee, William Robert"	Radiation Oncology
557	"Moul, Judd Wendell"	Surgery
558	"Polascik, Thomas James"	Surgery
559	"Robertson, Cary Nobles"	Surgery
560	"Halabi, Susan"	Biostatistics & Bioinformatics
561	"Zaas, David William"	Medicine
562	"Jaffe, Tracy Anne"	Radiology
563	"Armstrong, Brenda Estelle"	Pediatrics
564	"Armstrong, Michael Brannon"	Pediatrics
565	"Lavau, Catherine Praxede"	Pediatrics
566	"Wechsler, Daniel Steven Gary"	Pediatrics
567	"Armstrong, Sarah Commisso"	Pediatrics
568	"Silberberg, Mina Ruth"	Community and Family Medicine
569	"Kemper, Alex Randall"	Pediatrics
570	"Ostbye, Truls"	Community and Family Medicine
571	"Mangarelli, Caren"	Pediatrics
572	"Aronson, Solomon"	Anesthesiology
573	"Babyak, Michael Alan"	Psychiatry & Behavioral Sciences
574	"Blumenthal, James Alan"	Psychiatry & Behavioral Sciences
575	"D'Amico, Thomas Anthony"	Surgery
576	"Del Rio, Jose Mauricio"	Anesthesiology
577	"Gaca, Jeffrey Giles"	Surgery
578	"Harpole Jr., David Harold"	Surgery
579	"Hughes IV, George Charles"	Surgery
580	"Lodge, Andrew James"	Surgery
581	"Nicoara, Alina"	Anesthesiology
582	"Sketch Jr., Michael Hugh"	Medicine
583	"Stafford-Smith, Mark"	Anesthesiology
584	"Strittmatter, Warren James"	Neurology
585	"Swaminathan, Madhav"	Anesthesiology
586	"Tong, Betty Caroline"	Surgery
587	"Fontes, Manuel Lopes"	Anesthesiology
588	"Cherry, Anne"	Anesthesiology
589	"Arora, Ashish"	Fuqua School of Business
590	"Belenzon, Sharon"	Fuqua School of Business
591	"Arshavsky, Vadim Yurjevich"	Ophthalmology
592	"Farsiu, Sina"	Ophthalmology
593	"Caron, Marc G."	Cell Biology
594	"Rebrik, Tatiana I"	Ophthalmology
595	"Izatt, Joseph A."	Biomedical Engineering
596	"Aryal, Shambhu"	Medicine
597	"Asher, Steven R."	Psychology and Neuroscience
598	"Ashley, Patricia Lynn"	Pediatrics
599	"Bidegain, Margarita"	Pediatrics
