id,size,name,mod_class,department,dept_id,x,y,fixed
36,44.2,"Hirsch, Bradford R",1,Medicine,39,2329.85,524.86,TRUE
37,40.4,"Seewaldt, Victoria Louise",2,Medicine,39,1864.16,-564.14,TRUE
38,43.5,"Nelson, Kelly Carter",1,Dermatology,18,1253.89,1044.24,TRUE
39,40.4,"Hendrix, Cristina Cu",12,School of Nursing,63,-768.60,-111.26,TRUE
40,40.0,"Landerman, Lawrence Richard",8,Medicine,39,-591.71,2261.80,TRUE
41,40.0,"Ginsburg, Geoffrey Steven",2,Medicine,39,836.94,570.49,TRUE
42,40.4,"Blazer III, Dan German",1,Surgery,68,1213.76,931.74,TRUE
43,40.2,"Blazer, Daniel German",6,Psychiatry & Behavioral Sciences,55,531.15,2861.17,TRUE
44,40.0,"Mosca, Paul Joseph",2,Surgery,68,1319.92,-1239.79,TRUE
45,40.0,"Taylor Jr., Donald H.",9,Sanford School of Public Policy,61,-5174.02,1225.09,TRUE
46,40.4,"Zafar, Syed Yousuf",1,Medicine,39,2486.94,769.09,TRUE
47,40.4,"Peppercorn, Jeffrey Matthew",1,Medicine,39,2314.50,920.32,TRUE
48,40.8,"Gradison, Margaret",10,Community and Family Medicine,14,-700.12,-21.24,TRUE
49,40.4,"Flynn, Kathryn Eve",4,Psychiatry & Behavioral Sciences,55,-2683.86,-2779.63,TRUE
50,40.4,"Porter, Laura Streamo",6,Psychiatry & Behavioral Sciences,55,637.88,2449.05,TRUE
51,40.6,"Weinfurt, Kevin Phillip",10,Psychiatry & Behavioral Sciences,55,-940.32,722.47,TRUE
52,42.3,"Salama, April Kelly Scott",1,Medicine,39,1538.73,-776.57,TRUE
53,40.2,"Selim, Maria Angelica",2,Pathology,47,972.28,406.09,TRUE
54,40.0,"Tyler, Douglas Scott",1,Surgery,68,1669.27,-518.32,TRUE
55,40.0,"Curtis, Lesley Huntley",0,Medicine,39,2890.28,-234.42,TRUE
56,40.2,"Patz Jr., Edward F.",1,Radiology,58,-746.51,1363.59,TRUE
57,40.0,"Schulman, Kevin Alan",8,Medicine,39,-1658.13,589.53,TRUE
58,41.5,"O'Connor, Christopher Michael",0,Medicine,39,3835.15,-392.33,TRUE
59,41.3,"Rogers, Joseph G.",0,Medicine,39,3307.73,-614.70,TRUE
60,46.5,"Koenig, Harold G.",6,Psychiatry & Behavioral Sciences,55,341.36,2274.96,TRUE
61,40.0,"Pruitt, Scott Knowles",2,Surgery,68,1304.13,-827.64,TRUE
62,40.8,"Scheri, Randall Paul",4,Surgery,68,-425.01,-1895.81,TRUE
63,40.2,"Bosworth, Hayden Barry",0,Medicine,39,93.03,1740.40,TRUE
64,40.0,"Bartlett, John Alexander",12,Medicine,39,19.87,-1496.51,TRUE
65,40.0,"Zullig, Leah L",1,Medicine,39,1280.86,932.61,TRUE
66,40.8,"Berchuck, Andrew",6,Obstetrics and Gynecology,44,2463.75,1499.02,TRUE
67,41.3,"Havrilesky, Laura Jean",6,Obstetrics and Gynecology,44,1922.44,2113.21,TRUE
68,50.4,"Lee, Paula Sowon",6,Obstetrics and Gynecology,44,1927.58,1559.04,TRUE
69,47.9,"Secord, Angeles Alvarez",1,Obstetrics and Gynecology,44,2409.75,1214.22,TRUE
70,43.6,"Valea, Fidel Arthur",6,Obstetrics and Gynecology,44,1666.01,1507.75,TRUE
71,40.0,"Califf, Robert M.",0,Medicine,39,3710.83,-405.25,TRUE
72,46.5,"George, Daniel James",1,Medicine,39,2164.35,1316.02,TRUE
73,47.9,"Harrison, Michael Roger",1,Medicine,39,2065.79,1093.99,TRUE
74,42.9,"Somers, Tamara J.",6,Psychiatry & Behavioral Sciences,55,802.65,2236.44,TRUE
75,68.0,"Abou-Donia, Mohamed Bahie",6,Pharmacology & Cancer Biology,49,601.16,1342.15,TRUE
76,41.2,"Abraham, Dennis M",2,Medicine,39,999.68,-685.80,TRUE
77,40.0,"Bursac, Nenad",2,Biomedical Engineering,8,2357.32,-167.13,TRUE
78,42.5,"Rockman, Howard Allan",6,Medicine,39,1389.70,892.08,TRUE
79,41.7,"Wolf, Matthew Joseph",2,Medicine,39,1381.21,344.60,TRUE
80,41.0,"Mao, Lan",10,Medicine,39,953.88,548.08,TRUE
81,40.4,"Marchuk, Douglas Alan",2,Molecular Genetics and Microbiology,40,1344.70,246.91,TRUE
82,40.0,"Abraham, Soman Ninan",2,Pathology,47,1690.30,-1604.91,TRUE
83,41.0,"Staats, Herman Ford",2,Pathology,47,2217.06,-191.44,TRUE
84,41.2,"Foster, William Michael",2,Medicine,39,2063.72,-2003.77,TRUE
85,40.0,"Sempowski, Gregory David",2,Medicine,39,2011.43,-1076.21,TRUE
86,40.4,"Hollingsworth II, John William",2,Medicine,39,1957.26,-2045.37,TRUE
87,40.4,"Stripp, Barry Raymond",1,Medicine,39,1766.94,-1117.97,TRUE
88,40.4,"Leong, Kam",2,Biomedical Engineering,8,2249.25,-600.54,TRUE
89,40.0,"Kraft, Monica",1,Medicine,39,1248.55,-501.69,TRUE
90,42.3,"Ledford, Julie",2,Medicine,39,1882.18,-1656.47,TRUE
91,40.2,"Lugogo, Njira Lucia",1,Medicine,39,1200.61,-707.43,TRUE
92,40.0,"Hale, Laura Pope",11,Pathology,47,125.52,-2334.36,TRUE
93,40.2,"Karhausen, Jorn",11,Anesthesiology,2,-632.49,-2429.32,TRUE
94,40.0,"Ma, Qing",11,Anesthesiology,2,-709.80,-1975.97,TRUE
95,40.6,"Gunn, Michael Dee",2,Medicine,39,2452.30,-1581.93,TRUE
96,40.4,"Hartwig, Matthew",1,Surgery,68,1398.27,-367.09,TRUE
97,41.0,"Lin, Shu Shiuh-Shi",1,Surgery,68,1330.44,-591.77,TRUE
98,41.3,"Parker, William",1,Surgery,68,1014.77,487.98,TRUE
99,41.2,"Acheson, Shawn K.",6,Psychiatry & Behavioral Sciences,55,550.65,2545.91,TRUE
100,40.4,"Beckham, Jean Crowell",6,Psychiatry & Behavioral Sciences,55,480.98,3425.45,TRUE
101,40.4,"Calhoun, Patrick Shields",6,Psychiatry & Behavioral Sciences,55,368.45,3188.58,TRUE
102,40.8,"Kuhn, Cynthia Moreton",6,Pharmacology & Cancer Biology,49,489.96,2746.52,TRUE
103,42.5,"Swartzwelder, Harry Scott",6,Psychiatry & Behavioral Sciences,55,640.88,2650.26,TRUE
104,42.9,"Wilson Jr., Wilkie Andrew",6,Social Science Research Institute,65,830.87,2301.39,TRUE
105,41.2,"Dedert, Eric",6,Psychiatry & Behavioral Sciences,55,475.40,2946.07,TRUE
106,41.7,"Moore, Scott Daniel",6,Psychiatry & Behavioral Sciences,55,396.38,2749.53,TRUE
107,42.9,"Fleming, Rebekah",6,Psychiatry & Behavioral Sciences,55,513.18,2388.62,TRUE
108,41.2,"Gierisch, Jennifer M.",0,Medicine,39,1505.37,1310.43,TRUE
109,42.9,"Levin, Edward Daniel",6,Psychiatry & Behavioral Sciences,55,702.26,2725.71,TRUE
110,44.6,"Rezvani, Amir H.",6,Psychiatry & Behavioral Sciences,55,877.34,3100.04,TRUE
111,40.8,"Bennett, Ellen Ruth",10,Neurology,43,608.94,325.46,TRUE
112,41.7,"James, Michael Lucas",6,Anesthesiology,2,1036.81,1175.04,TRUE
113,40.0,"Lascola, Christopher David",2,Radiology,58,57.14,-589.46,TRUE
114,40.2,"Laskowitz, Daniel Todd",6,Neurology,43,1224.33,1483.55,TRUE
115,40.2,"Vitek, Michael P.",2,Neurology,43,2347.26,-1558.55,TRUE
116,42.7,"Wang, Haichen",6,Neurology,43,1261.77,1801.90,TRUE
117,40.4,"Madison, Roger D.",2,Surgery,68,-37.24,-214.99,TRUE
118,41.5,"Klein, Rebecca Christine",2,Psychiatry & Behavioral Sciences,55,-1013.65,-2995.18,TRUE
119,47.5,"Achneck, Hardean",6,Surgery,68,2278.60,2647.10,TRUE
120,42.9,"Truskey, George A.",6,Biomedical Engineering,8,1387.57,1974.52,TRUE
121,40.8,"Allen, Jason David",6,Community and Family Medicine,14,1503.46,1891.38,TRUE
122,40.2,"Lawson, Jeffrey Harold",6,Surgery,68,1514.84,1190.50,TRUE
123,41.2,"Milano, Carmelo Alessio",0,Surgery,68,2727.80,-579.97,TRUE
124,43.8,"Reichert, William M.",6,Biomedical Engineering,8,1876.06,2238.19,TRUE
125,40.0,"Adair, Bill",4,Sanford School of Public Policy,61,-3823.41,-3751.55,TRUE
126,41.3,"Adam, Soheir Saeed",10,Medicine,39,-15.21,-166.17,TRUE
127,40.6,"Ortel, Thomas Lee",1,Medicine,39,2471.41,285.38,TRUE
128,40.6,"Williams Jr., John Wiley",0,Medicine,39,2032.55,600.69,TRUE
129,42.3,"Adams Jr., Samuel Bruce",3,Orthopaedics,46,1480.75,3454.04,TRUE
130,43.1,"DeOrio, James Keith",3,Orthopaedics,46,1530.75,3670.73,TRUE
131,41.9,"Easley, Mark Erik",3,Orthopaedics,46,1597.84,3789.86,TRUE
132,41.0,"Nunley II, James Albert",3,Orthopaedics,46,1528.15,3917.70,TRUE
133,40.0,"Stinnett, Sandra Sue",7,Biostatistics & Bioinformatics,9,-526.19,2550.70,TRUE
134,40.8,"Setton, Lori A.",2,Biomedical Engineering,8,2258.84,1786.82,TRUE
135,40.0,"Queen, Robin Marie",3,Orthopaedics,46,1322.86,3912.78,TRUE
136,40.2,"Bolognesi, Michael Paul",3,Orthopaedics,46,1157.12,3893.62,TRUE
137,41.3,"Toth, Alison Patricia",3,Orthopaedics,46,1400.01,3686.95,TRUE
138,40.2,"Kraus, Virginia Byers",2,Medicine,39,1937.64,1092.00,TRUE
139,41.2,"Schmitt, Daniel Oliver",6,Evolutionary Anthropology,29,2029.19,2203.56,TRUE
140,42.7,"Parekh, Selene Gunvant",3,Orthopaedics,46,1187.15,3609.07,TRUE
141,40.2,"Butler, Robert John",3,Community and Family Medicine,14,1227.53,3978.41,TRUE
142,41.0,"Adams, David John",5,Medicine,39,-324.56,-1648.98,TRUE
143,42.1,"Driscoll, Timothy Alan",1,Pediatrics,48,932.43,615.92,TRUE
144,40.8,"Nixon, Andrew Benjamin",2,Medicine,39,1910.63,-971.71,TRUE
145,40.6,"Adams, Martha Bennett",4,Medicine,39,-4998.43,-4713.53,TRUE
146,40.0,"Grambow, Steven C.",0,Biostatistics & Bioinformatics,9,815.62,765.23,TRUE
147,40.4,"Oddone, Eugene Zaverio",0,Medicine,39,-667.99,1443.71,TRUE
148,40.8,"Peterson, Eric David",0,Medicine,39,3827.21,-677.49,TRUE
149,40.2,"Shah, Bimal Ramesh",0,Medicine,39,3092.08,-398.92,TRUE
150,40.6,"Adamson, David Cory",6,Surgery,68,747.19,2036.74,TRUE
151,40.0,"McLendon, Roger Edwin",2,Pathology,47,2329.11,-694.04,TRUE
152,41.2,"Hoffman, Maureane Richardson",6,Pathology,47,1457.44,2527.56,TRUE
153,40.0,"Turner, Dennis Alan",10,Surgery,68,959.92,1305.89,TRUE
154,40.2,"Bigner, Darell Doty",2,Pathology,47,2589.27,-1615.55,TRUE
155,40.4,"Gregory, Simon Gray",2,Medicine,39,1989.75,-135.28,TRUE
156,40.0,"Friedman, Allan Howard",6,Surgery,68,2074.72,965.58,TRUE
157,41.7,"Lark, Amy Langdon",10,Pathology,47,162.75,460.10,TRUE
158,40.8,"Kirkpatrick, John P.",1,Radiation Oncology,57,3517.72,1256.57,TRUE
159,41.0,"Kranz, Peter George",1,Radiology,58,-653.61,2159.24,TRUE
160,40.0,"Cummings, Thomas John",7,Pathology,47,447.41,2251.70,TRUE
161,43.1,"Adamson, Justus D",1,Radiation Oncology,57,3130.17,1575.55,TRUE
162,41.9,"Wu, Qiuwen",1,Radiation Oncology,57,3424.52,2103.67,TRUE
163,40.0,"Yin, Fang-Fang",1,Radiation Oncology,57,3502.26,2188.10,TRUE
164,41.2,"Bowsher, James E.",1,Radiation Oncology,57,2925.68,2175.68,TRUE
165,40.6,"Cai, Jing",1,Radiation Oncology,57,3642.25,2125.94,TRUE
166,41.3,"Chang, Zheng",1,Radiation Oncology,57,3464.39,1998.37,TRUE
167,43.1,"Ren, Lei",1,Radiation Oncology,57,2849.15,2305.64,TRUE
168,42.7,"Wang, Zhiheng",1,Radiation Oncology,57,3249.40,1720.23,TRUE
169,43.3,"Yoo, Sua",1,Radiation Oncology,57,3131.39,1698.00,TRUE
170,41.7,"Horton, Janet Knight",1,Radiation Oncology,57,3247.71,1050.70,TRUE
171,41.0,"Palta, Manisha",1,Radiation Oncology,57,3056.19,847.15,TRUE
172,40.2,"Chino, Junzo Paul",1,Radiation Oncology,57,3331.53,1531.64,TRUE
173,41.9,"Craciunescu, Oana",1,Radiation Oncology,57,3535.80,1852.02,TRUE
174,41.0,"Oldham, Mark",1,Radiation Oncology,57,3121.25,2459.88,TRUE
175,41.3,"Yan, Hui",5,Radiation Oncology,57,-1355.91,-826.88,TRUE
176,44.4,"Adcock, Rachel Alison",6,Psychiatry & Behavioral Sciences,55,1162.10,2975.58,TRUE
177,40.8,"LaBar, Kevin S.",6,Psychology and Neuroscience,56,855.03,3518.98,TRUE
178,40.8,"Huettel, Scott",6,Psychology and Neuroscience,56,1344.33,3117.80,TRUE
179,46.1,"Mitroff, Stephen",6,Psychology and Neuroscience,56,1749.01,2439.95,TRUE
180,44.6,"Keefe, Richard S.E.",6,Psychiatry & Behavioral Sciences,55,1462.01,2933.17,TRUE
181,40.0,"Kollins, Scott Haden",6,Psychiatry & Behavioral Sciences,55,548.79,2664.19,TRUE
182,40.2,"Addington, Nicolas Michael",9,Mathematics,36,-8507.03,-995.28,TRUE
183,42.9,"Aspinwall, Paul Stephen",9,Mathematics,36,-6545.64,1047.05,TRUE
184,40.8,"Adelino, Manuel Neves",11,Fuqua School of Business,30,-2948.22,-380.45,TRUE
185,40.8,"Adibe, Obinna Ogochukwu",1,Surgery,68,922.15,778.20,TRUE
186,41.0,"Agarwal, Pankaj K.",6,Computer Science,15,733.69,2257.84,TRUE
187,46.1,"Yang, Jun",6,Computer Science,15,2152.11,2063.33,TRUE
188,41.0,"Clark, James S.",2,Environmental Sciences and Policy,28,2805.85,1090.81,TRUE
189,40.8,"Gelfand, Alan",6,Statistical Science,67,2267.80,2754.81,TRUE
190,40.2,"Ahmed, Mohammad Waseem",10,Physics,51,-282.49,832.82,TRUE
191,42.1,"Wu, Ying",6,Physics,51,-184.18,1870.37,TRUE
192,40.2,"Tornow, Werner",5,Physics,51,-1434.98,-903.08,TRUE
193,40.8,"Ahn, Seungkirl",2,Medicine,39,2553.63,-1276.71,TRUE
194,40.4,"Lefkowitz, Robert J.",2,Medicine,39,2979.97,-1089.45,TRUE
195,40.6,"Shenoy, Sudha Kaup",2,Medicine,39,2642.82,-1123.83,TRUE
196,40.0,"Xiao, Kevin",2,Medicine,39,2344.19,-1398.46,TRUE
197,41.7,"Oas, Terrence Gilbert",2,Biochemistry,6,1124.07,-105.39,TRUE
198,42.5,"Ake III, George Simpson",12,Psychiatry,54,-1696.35,477.27,TRUE
199,40.6,"Briggs-King, Ernestine Cabady",12,Psychiatry,54,-1017.80,2003.80,TRUE
200,40.6,"Fairbank, John A.",12,Psychiatry,54,-639.84,2616.86,TRUE
201,40.6,"Gerrity, Ellen Terese",5,Psychiatry,54,-2325.79,-910.66,TRUE
202,40.6,"Amaya-Jackson, Lisa M.",12,Psychiatry,54,-899.00,2183.74,TRUE
203,40.2,"Murphy, Robert A.",12,Psychiatry,54,-878.98,1831.88,TRUE
204,40.0,"Alam, S. Munir",2,Medicine,39,3106.80,-1309.89,TRUE
205,42.9,"Denny, Thomas Norton",2,Medicine,39,2441.55,57.20,TRUE
206,41.2,"Haynes, Barton Ford",2,Medicine,39,2929.04,-1331.69,TRUE
207,41.3,"Kelsoe, Garnett H.",2,Immunology,33,2835.31,-1629.55,TRUE
208,40.0,"Liao, Hua-Xin",2,Medicine,39,2872.28,-1112.21,TRUE
209,50.9,"McClain, Micah Thomas",2,Medicine,39,1231.45,-155.60,TRUE
210,40.4,"Moody, Michael Anthony",2,Pediatrics,48,2609.24,-571.72,TRUE
211,40.4,"Tomaras, Georgia Doris",2,Surgery,68,2495.45,-558.40,TRUE
212,40.8,"Vandergrift, Nathan A.",2,Medicine,39,1446.38,580.71,TRUE
213,40.0,"Walter Jr., Emmanuel Benjamin",10,Pediatrics,48,293.72,38.44,TRUE
214,43.3,"Whitesides, John Franklin",2,Medicine,39,1424.31,-792.42,TRUE
215,40.0,"Woods, Christopher Wildrick",2,Medicine,39,1704.88,-186.09,TRUE
216,41.3,"Yu, Jae-Sung",5,Medicine,39,-325.02,-1218.14,TRUE
217,40.0,"Montefiori, David Charles",2,Surgery,68,2809.75,-1214.14,TRUE
218,42.7,"Shen, Xiaoying",2,Medicine,39,2562.65,-1027.93,TRUE
219,40.8,"Ferrari, Guido",2,Surgery,68,2463.14,-984.66,TRUE
220,41.2,"Bonsignori, Mattia",2,Medicine,39,2854.55,-593.23,TRUE
221,41.5,"Verkoczy, Laurent Karl",2,Medicine,39,2090.36,-751.01,TRUE
222,41.2,"Gao, Feng",2,Medicine,39,2941.55,-988.28,TRUE
223,41.0,"Permar, Sallie Robey",2,Pediatrics,48,2527.66,-1390.33,TRUE
224,40.8,"Zauscher, Stefan",2,Mechanical Engineering and Materials Science,37,2308.63,817.65,TRUE
225,42.7,"Spicer, Leonard D.",2,Radiology,58,1864.70,-2392.64,TRUE
226,40.0,"Erickson, Harold Paul",2,Cell Biology,10,2552.81,-1775.88,TRUE
227,41.5,"Ohashi, Tomoo",2,Cell Biology,10,2396.99,-2340.74,TRUE
228,40.6,"LaBranche, Celia Crane",2,Surgery,68,2820.79,-2148.70,TRUE
229,45.8,"Donald, Bruce Randall",6,Computer Science,15,1722.80,1221.20,TRUE
230,40.6,"Alberts, Susan C.",6,Biology,7,2847.74,1938.21,TRUE
231,41.9,"Morris, William F.",6,Biology,7,2815.28,1549.96,TRUE
232,46.1,"Pusey, Anne",2,Evolutionary Anthropology,29,2855.49,63.46,TRUE
233,41.2,"Tung, Jenny",2,Evolutionary Anthropology,29,3006.74,404.80,TRUE
234,40.4,"Wray, Gregory Allan",6,Biology,7,2895.42,1386.88,TRUE
235,40.0,"Mukherjee, Shayan",9,Statistical Science,67,-4358.22,688.89,TRUE
236,58.4,"Albertson, John D.",6,Civil and Environmental Engineering,12,2220.87,2899.48,TRUE
237,41.9,"Katul, Gabriel G.",6,Environmental Sciences and Policy,28,2553.24,2124.13,TRUE
238,49.6,"Marani, Marco",2,Earth and Ocean Sciences,23,2196.91,-1223.56,TRUE
239,54.4,"Albright, Elizabeth A",5,Environmental Sciences and Policy,28,-1656.81,-1820.27,TRUE
240,40.2,"Alexander, Barbara Dudley",6,Medicine,39,1510.75,511.84,TRUE
241,40.0,"Perfect, John Robert",2,Medicine,39,2139.68,-411.67,TRUE
242,41.0,"Reller, Lyman Barth",2,Pathology,47,1887.11,-78.53,TRUE
243,41.2,"Schell, Wiley Alexander",6,Medicine,39,2008.80,1771.67,TRUE
244,44.0,"Johnson, Melissa DePaoli",6,Medicine,39,1905.42,719.79,TRUE
245,40.0,"Smith, Phillip Brian",0,Pediatrics,48,2160.62,1043.58,TRUE
246,40.0,"Zaas, Aimee Kirsch",2,Medicine,39,1489.52,-693.42,TRUE
247,40.0,"Benjamin Jr., Daniel Kelly",6,Pediatrics,48,2166.61,1455.81,TRUE
248,42.9,"Drew, Richard Howard",6,Medicine,39,1934.32,1455.69,TRUE
249,41.2,"Costa, Sylvia Fernandes de Castro",5,Medicine,39,-1858.37,-2179.38,TRUE
250,40.8,"Howell, David Noble",1,Pathology,47,662.57,59.72,TRUE
251,40.0,"Miller, Sara Elizabeth",1,Pathology,47,446.27,-509.77,TRUE
252,41.7,"Smith, Stephen Richard",1,Medicine,39,392.43,-414.85,TRUE
253,44.2,"Horan, Jennifer",5,Medicine,39,-56.39,-568.28,TRUE
254,41.9,"Alexander, John Hunter Peel",0,Medicine,39,3935.29,-619.21,TRUE
255,41.7,"Becker, Richard Clinton",0,Medicine,39,3599.25,-159.27,TRUE
256,40.0,"Povsic, Thomas Joseph",0,Medicine,39,2210.28,-513.32,TRUE
257,43.1,"Lopes, Renato Delascio",0,Medicine,39,778.01,-1205.84,TRUE
258,40.4,"Granger, Christopher Bull",0,Medicine,39,4086.35,-323.09,TRUE
259,40.4,"Rao, Sunil Vadlakonda",0,Medicine,39,4023.68,-542.62,TRUE
260,41.0,"Ohman, Erik Magnus",0,Medicine,39,4170.05,-541.52,TRUE
261,42.1,"Piccini Sr., Jonathan Paul",0,Medicine,39,3677.44,-279.34,TRUE
262,41.5,"Hasselblad, Victor",0,Biostatistics & Bioinformatics,9,3415.34,-57.95,TRUE
263,40.0,"Levy, Jerrold Henry",0,Anesthesiology,2,1502.00,-902.53,TRUE
264,41.7,"Smith, Peter Kent",0,Surgery,68,3453.29,-802.18,TRUE
265,40.2,"Newby, Laura Kristin",0,Medicine,39,3994.39,-230.60,TRUE
266,49.0,"Krucoff, Mitchell Wolfe",0,Medicine,39,3106.34,-271.05,TRUE
267,40.0,"Mathew, Joseph P.",0,Anesthesiology,2,2329.55,-1030.44,TRUE
268,40.8,"Newman, Mark Franklin",0,Anesthesiology,2,1241.50,-1156.94,TRUE
269,40.2,"Podgoreanu, Mihai V.",0,Anesthesiology,2,972.57,-1289.31,TRUE
270,42.5,"Al-Khalidi, Hussein Rashid",0,Biostatistics & Bioinformatics,9,3042.79,-609.41,TRUE
271,42.3,"Green, Jennifer Brigitte",6,Medicine,39,875.85,1490.40,TRUE
272,40.4,"Thomas, Laine Elliott",0,Biostatistics & Bioinformatics,9,3487.98,-372.44,TRUE
273,42.3,"Glower Jr., Donald D.",0,Surgery,68,2876.27,-875.64,TRUE
274,40.0,"Wang, Andrew",0,Medicine,39,1706.52,-274.01,TRUE
275,41.9,"Al-Khatib, Sana Mustapha",0,Medicine,39,3554.90,-281.71,TRUE
276,41.2,"Patel, Manesh Raman",0,Medicine,39,3973.05,-734.20,TRUE
277,44.6,"Brennan, J. Matthew",0,Medicine,39,2993.55,-732.07,TRUE
278,40.2,"O'Brien, Sean Michael",0,Biostatistics & Bioinformatics,9,3577.87,-723.35,TRUE
279,42.1,"Alexander, Karen Patton",0,Medicine,39,3806.74,-285.24,TRUE
280,40.0,"Roe, Matthew Todd",0,Medicine,39,4092.93,-460.49,TRUE
281,40.8,"Wang, Yu-Ping",0,Medicine,39,4134.02,-668.20,TRUE
282,49.2,"Atwater, Brett David",0,Medicine,39,1349.07,-476.72,TRUE
283,42.9,"Bahnson, Tristram Dan",0,Medicine,39,-240.44,-1294.86,TRUE
284,43.8,"Daubert, James Patrick",0,Medicine,39,3004.34,965.15,TRUE
285,40.0,"Harrison, Robert William",5,Medicine,39,-551.34,-2307.49,TRUE
286,44.6,"Jones, William Schuyler",0,Medicine,39,2801.35,-481.08,TRUE
287,42.1,"Daneshmand, Mani Ali",0,Surgery,68,1568.06,-1032.87,TRUE
288,43.3,"Velazquez, Eric Jose",0,Medicine,39,3324.25,-275.24,TRUE
289,43.3,"Tricoci, Pierluigi",0,Medicine,39,3608.11,-447.64,TRUE
290,40.6,"Anstrom, Kevin J.",0,Biostatistics & Bioinformatics,9,1960.92,-5.48,TRUE
291,40.2,"Chow, Shein-Chung",6,Biostatistics & Bioinformatics,9,1618.73,2697.78,TRUE
292,41.7,"Lee, Kerry L.",0,Biostatistics & Bioinformatics,9,3810.75,-555.96,TRUE
293,41.3,"Pencina, Michael J",0,Biostatistics & Bioinformatics,9,3436.83,-260.35,TRUE
294,40.2,"Mathews, Robin",5,Medicine,39,-1058.26,-1886.52,TRUE
295,41.0,"Allen LaPointe, Nancy Marie",0,Medicine,39,2148.37,-116.49,TRUE
296,44.8,"Melloni, Chiara",0,Medicine,39,2026.23,-442.42,TRUE
297,40.4,"Bettger, Janet Prvu",6,School of Nursing,63,556.94,1932.25,TRUE
298,40.4,"Coeytaux, Remy Rene",6,Community and Family Medicine,14,1823.54,1592.47,TRUE
299,40.4,"Dolor, Rowena Joy",0,Medicine,39,1928.36,602.39,TRUE
300,41.2,"Graffagnino, Carmelo",0,Neurology,43,1157.19,651.10,TRUE
301,40.4,"Holsinger, Tracey C.",4,Psychiatry & Behavioral Sciences,55,-4120.25,-4138.74,TRUE
302,42.5,"Kong, David Franklin",0,Medicine,39,1772.20,-318.54,TRUE
303,40.6,"Kramer, Judith Mae",10,Medicine,39,-551.57,221.48,TRUE
