id,x,y,author,dept,dept_id
83,1488.4071,713.50964,"Staats, Herman Ford",Pathology,47
84,1594.442,1384.4506,"Foster, William Michael",Medicine,39
85,-425.862,-1634.204,"Sempowski, Gregory David",Medicine,39
86,1462.7837,1405.7908,"Hollingsworth II, John William",Medicine,39
87,-630.3737,-1771.4148,"Stripp, Barry Raymond",Medicine,39
88,-1099.4463,1476.1584,"Leong, Kam",Biomedical Engineering,8
89,2066.3215,1591.4193,"Kraft, Monica",Medicine,39
90,1674.501,901.629,"Ledford, Julie",Medicine,39
91,2055.993,-72.36455,"Lugogo, Njira Lucia",Medicine,39
92,566.40247,242.69623,"Hale, Laura Pope",Pathology,47
93,-811.0867,-1637.8927,"Karhausen, Jorn",Anesthesiology,2
94,1340.7341,-1139.2284,"Ma, Qing",Anesthesiology,2
95,1368.434,904.4237,"Gunn, Michael Dee",Medicine,39
96,1788.1919,1041.0266,"Hartwig, Matthew",Surgery,68
97,1884.4152,1402.4094,"Lin, Shu Shiuh-Shi",Surgery,68
98,1942.7777,1484.76,"Parker, William",Surgery,68
99,444.78308,-1887.425,"Acheson, Shawn K.",Psychiatry & Behavioral Sciences,55
100,-695.13824,-1329.4417,"Beckham, Jean Crowell",Psychiatry & Behavioral Sciences,55
101,-645.87695,-1406.0906,"Calhoun, Patrick Shields",Psychiatry & Behavioral Sciences,55
102,-1072.6106,-803.895,"Kuhn, Cynthia Moreton",Pharmacology & Cancer Biology,49
103,518.72864,-1834.3428,"Swartzwelder, Harry Scott",Psychiatry & Behavioral Sciences,55
104,605.24347,-1814.8732,"Wilson Jr., Wilkie Andrew",Social Science Research Institute,65
105,-960.3532,-970.4087,"Dedert, Eric",Psychiatry & Behavioral Sciences,55
106,435.38284,-1705.7626,"Moore, Scott Daniel",Psychiatry & Behavioral Sciences,55
107,438.70792,-1787.2722,"Fleming, Rebekah",Psychiatry & Behavioral Sciences,55
108,1980.2296,-618.87494,"Gierisch, Jennifer M.",Medicine,39
109,-212.9077,-1142.197,"Levin, Edward Daniel",Psychiatry & Behavioral Sciences,55
110,37.40171,-1284.428,"Rezvani, Amir H.",Psychiatry & Behavioral Sciences,55
111,-11.727022,429.0277,"Bennett, Ellen Ruth",Neurology,43
112,418.44852,1722.6761,"James, Michael Lucas",Anesthesiology,2
113,125.15721,109.40421,"Lascola, Christopher David",Radiology,58
114,269.33966,1185.2515,"Laskowitz, Daniel Todd",Neurology,43
115,136.33292,2560.7092,"Vitek, Michael P.",Neurology,43
116,1.8700786,1122.4836,"Wang, Haichen",Neurology,43
117,-711.882,-1031.3633,"Madison, Roger D.",Surgery,68
118,-667.98395,-1493.503,"Klein, Rebecca Christine",Psychiatry & Behavioral Sciences,55
119,423.2932,945.1683,"Achneck, Hardean",Surgery,68
120,519.1923,863.58594,"Truskey, George A.",Biomedical Engineering,8
121,1333.5648,355.9046,"Allen, Jason David",Community and Family Medicine,14
122,1206.6581,818.6998,"Lawson, Jeffrey Harold",Surgery,68
123,1828.4078,569.6431,"Milano, Carmelo Alessio",Surgery,68
124,482.26825,919.3315,"Reichert, William M.",Biomedical Engineering,8
125,334.52863,-512.4929,"Adair, Bill",Sanford School of Public Policy,61
126,-771.08417,1078.0348,"Adam, Soheir Saeed",Medicine,39
127,2551.9888,-73.91678,"Ortel, Thomas Lee",Medicine,39
128,2006.1821,-413.4697,"Williams Jr., John Wiley",Medicine,39
129,-1384.783,1101.8539,"Adams Jr., Samuel Bruce",Orthopaedics,46
130,-1548.5605,1062.3885,"DeOrio, James Keith",Orthopaedics,46
131,-1478.7953,1140.2711,"Easley, Mark Erik",Orthopaedics,46
132,-1457.8453,1026.0408,"Nunley II, James Albert",Orthopaedics,46
133,-3412.388,2269.549,"Stinnett, Sandra Sue",Biostatistics & Bioinformatics,9
134,-1001.853,1150.481,"Setton, Lori A.",Biomedical Engineering,8
135,-1373.3516,993.0683,"Queen, Robin Marie",Orthopaedics,46
136,-1195.0275,912.44556,"Bolognesi, Michael Paul",Orthopaedics,46
137,-1022.7621,972.49304,"Toth, Alison Patricia",Orthopaedics,46
138,197.10085,-881.4724,"Kraus, Virginia Byers",Medicine,39
139,9.923613,-1733.7599,"Schmitt, Daniel Oliver",Evolutionary Anthropology,29
140,-1301.3977,1060.4502,"Parekh, Selene Gunvant",Orthopaedics,46
141,-1376.7802,900.5825,"Butler, Robert John",Community and Family Medicine,14
142,1032.712,-215.82191,"Adams, David John",Medicine,39
143,1363.3308,431.71313,"Driscoll, Timothy Alan",Pediatrics,48
144,271.34958,796.12775,"Nixon, Andrew Benjamin",Medicine,39
145,413.981,-480.8595,"Adams, Martha Bennett",Medicine,39
146,2480.438,-885.1929,"Grambow, Steven C.",Biostatistics & Bioinformatics,9
147,490.87338,-1338.4137,"Oddone, Eugene Zaverio",Medicine,39
148,2763.5984,-338.7016,"Peterson, Eric David",Medicine,39
149,2119.3171,-267.5822,"Shah, Bimal Ramesh",Medicine,39
150,51.443047,2650.4524,"Adamson, David Cory",Surgery,68
151,-196.42924,2258.3323,"McLendon, Roger Edwin",Pathology,47
152,1030.8021,2724.6575,"Hoffman, Maureane Richardson",Pathology,47
153,31.775126,2229.812,"Turner, Dennis Alan",Surgery,68
154,-54.030327,2244.3022,"Bigner, Darell Doty",Pathology,47
155,1001.9866,28.730436,"Gregory, Simon Gray",Medicine,39
156,-50.34694,2368.8699,"Friedman, Allan Howard",Surgery,68
157,357.79135,1978.9094,"Lark, Amy Langdon",Pathology,47
158,128.88521,1500.5145,"Kirkpatrick, John P.",Radiation Oncology,57
159,-554.0796,600.3526,"Kranz, Peter George",Radiology,58
160,0.41217953,1937.5698,"Cummings, Thomas John",Pathology,47
161,-155.48894,1305.9517,"Adamson, Justus D",Radiation Oncology,57
162,-320.88464,1676.0017,"Wu, Qiuwen",Radiation Oncology,57
163,-429.61765,1764.5012,"Yin, Fang-Fang",Radiation Oncology,57
164,-456.9364,1345.4036,"Bowsher, James E.",Radiation Oncology,57
165,-227.35394,1685.6401,"Cai, Jing",Radiation Oncology,57
166,-533.24927,1303.0808,"Chang, Zheng",Radiation Oncology,57
167,-345.78244,1570.4009,"Ren, Lei",Radiation Oncology,57
168,-230.3642,1336.3715,"Wang, Zhiheng",Radiation Oncology,57
169,-222.1655,1257.4287,"Yoo, Sua",Radiation Oncology,57
170,346.7739,940.3569,"Horton, Janet Knight",Radiation Oncology,57
171,-526.0754,839.6375,"Palta, Manisha",Radiation Oncology,57
172,1849.157,-402.8915,"Chino, Junzo Paul",Radiation Oncology,57
173,-410.55496,1676.5079,"Craciunescu, Oana",Radiation Oncology,57
174,-513.73804,1634.2151,"Oldham, Mark",Radiation Oncology,57
175,909.8809,-846.52264,"Yan, Hui",Radiation Oncology,57
176,-601.5946,-889.8142,"Adcock, Rachel Alison",Psychiatry & Behavioral Sciences,55
177,-691.22876,-1117.3347,"LaBar, Kevin S.",Psychology and Neuroscience,56
178,-1168.949,-128.51118,"Huettel, Scott",Psychology and Neuroscience,56
179,-1231.8232,-347.17325,"Mitroff, Stephen",Psychology and Neuroscience,56
180,-249.67719,-898.09247,"Keefe, Richard S.E.",Psychiatry & Behavioral Sciences,55
181,-662.8935,-1246.5386,"Kollins, Scott Haden",Psychiatry & Behavioral Sciences,55
182,-1732.1136,-816.4292,"Addington, Nicolas Michael",Mathematics,36
183,-1737.8323,-9.323566,"Aspinwall, Paul Stephen",Mathematics,36
184,-1271.9456,-1546.9475,"Adelino, Manuel Neves",Fuqua School of Business,30
185,1300.7684,467.84006,"Adibe, Obinna Ogochukwu",Surgery,68
186,212.4091,1105.0767,"Agarwal, Pankaj K.",Computer Science,15
187,-821.3743,-268.49332,"Yang, Jun",Computer Science,15
188,-1488.6648,-2240.991,"Clark, James S.",Environmental Sciences and Policy,28
189,-1321.7583,-176.41286,"Gelfand, Alan",Statistical Science,67
190,-1828.044,-502.7466,"Ahmed, Mohammad Waseem",Physics,51
191,-1918.5128,-513.3881,"Wu, Ying",Physics,51
192,-1633.9312,-433.38797,"Tornow, Werner",Physics,51
193,-430.71423,462.69202,"Ahn, Seungkirl",Medicine,39
194,-119.78746,706.99335,"Lefkowitz, Robert J.",Medicine,39
195,-433.40735,692.4259,"Shenoy, Sudha Kaup",Medicine,39
196,-359.56223,280.81424,"Xiao, Kevin",Medicine,39
197,-1915.7279,-8.994025,"Oas, Terrence Gilbert",Biochemistry,6
198,640.3706,-991.90485,"Ake III, George Simpson",Psychiatry,54
199,719.1017,-1239.6724,"Briggs-King, Ernestine Cabady",Psychiatry,54
200,-879.6691,-997.9251,"Fairbank, John A.",Psychiatry,54
201,474.44687,-922.9818,"Gerrity, Ellen Terese",Psychiatry,54
202,152.0158,-1838.9941,"Amaya-Jackson, Lisa M.",Psychiatry,54
203,1110.1289,-1589.5706,"Murphy, Robert A.",Psychiatry,54
204,2609.605,1014.3472,"Alam, S. Munir",Medicine,39
205,2518.884,1050.4602,"Denny, Thomas Norton",Medicine,39
206,2696.5444,1046.0255,"Haynes, Barton Ford",Medicine,39
207,2313.3984,871.53796,"Kelsoe, Garnett H.",Immunology,33
208,2586.9963,1117.2399,"Liao, Hua-Xin",Medicine,39
209,808.2917,812.9931,"McClain, Micah Thomas",Medicine,39
210,2725.8167,958.3373,"Moody, Michael Anthony",Pediatrics,48
211,2782.1282,1085.8191,"Tomaras, Georgia Doris",Surgery,68
212,1897.0164,302.12955,"Vandergrift, Nathan A.",Medicine,39
213,758.92554,-56.81297,"Walter Jr., Emmanuel Benjamin",Pediatrics,48
214,1836.2161,947.467,"Whitesides, John Franklin",Medicine,39
215,1013.65924,734.65094,"Woods, Christopher Wildrick",Medicine,39
216,1344.4496,495.30515,"Yu, Jae-Sung",Medicine,39
217,2682.03,1139.172,"Montefiori, David Charles",Surgery,68
218,2263.66,1004.35284,"Shen, Xiaoying",Medicine,39
219,2633.5334,921.89526,"Ferrari, Guido",Surgery,68
220,2538.3928,929.55475,"Bonsignori, Mattia",Medicine,39
221,2453.6172,978.1847,"Verkoczy, Laurent Karl",Medicine,39
222,2438.0479,874.4069,"Gao, Feng",Medicine,39
223,2196.7244,833.71454,"Permar, Sallie Robey",Pediatrics,48
224,-1359.2804,659.37823,"Zauscher, Stefan",Mechanical Engineering and Materials Science,37
225,1323.5786,686.5829,"Spicer, Leonard D.",Radiology,58
226,-1791.8186,-419.71292,"Erickson, Harold Paul",Cell Biology,10
227,-1229.7887,-191.37363,"Ohashi, Tomoo",Cell Biology,10
228,2357.9778,977.4876,"LaBranche, Celia Crane",Surgery,68
229,-1963.947,78.06308,"Donald, Bruce Randall",Computer Science,15
230,-1921.0779,-1645.5562,"Alberts, Susan C.",Biology,7
231,-998.3521,-2209.579,"Morris, William F.",Biology,7
232,-1921.0851,-1556.058,"Pusey, Anne",Evolutionary Anthropology,29
233,-1116.9685,-1519.0667,"Tung, Jenny",Evolutionary Anthropology,29
234,-1608.3922,-1044.2748,"Wray, Gregory Allan",Biology,7
235,-949.7709,-473.7707,"Mukherjee, Shayan",Statistical Science,67
236,-779.9523,-146.87169,"Albertson, John D.",Civil and Environmental Engineering,12
237,-792.4869,-503.1116,"Katul, Gabriel G.",Environmental Sciences and Policy,28
238,-690.0461,-500.52835,"Marani, Marco",Earth and Ocean Sciences,23
239,-681.1091,-1589.3187,"Albright, Elizabeth A",Environmental Sciences and Policy,28
240,-154.63411,-1811.275,"Alexander, Barbara Dudley",Medicine,39
241,-470.831,-1741.058,"Perfect, John Robert",Medicine,39
242,93.863014,-1692.946,"Reller, Lyman Barth",Pathology,47
243,-84.39787,-1862.2026,"Schell, Wiley Alexander",Medicine,39
244,-378.15564,-1708.0071,"Johnson, Melissa DePaoli",Medicine,39
245,1695.6515,460.9667,"Smith, Phillip Brian",Pediatrics,48
246,894.5814,847.56366,"Zaas, Aimee Kirsch",Medicine,39
247,1681.1394,200.23436,"Benjamin Jr., Daniel Kelly",Pediatrics,48
248,-132.00798,-1535.0458,"Drew, Richard Howard",Medicine,39
249,830.5323,122.0629,"Costa, Sylvia Fernandes de Castro",Medicine,39
250,1911.0635,1013.72186,"Howell, David Noble",Pathology,47
251,-196.71523,320.16623,"Miller, Sara Elizabeth",Pathology,47
252,1405.7588,643.0329,"Smith, Stephen Richard",Medicine,39
253,704.615,-358.01385,"Horan, Jennifer",Medicine,39
254,2705.2559,-160.47353,"Alexander, John Hunter Peel",Medicine,39
255,2621.5713,-134.17337,"Becker, Richard Clinton",Medicine,39
256,2257.8914,-104.42981,"Povsic, Thomas Joseph",Medicine,39
257,1738.8372,-146.95021,"Lopes, Renato Delascio",Medicine,39
258,2530.0764,-168.11086,"Granger, Christopher Bull",Medicine,39
259,2549.6768,-259.1958,"Rao, Sunil Vadlakonda",Medicine,39
260,2674.025,-313.88553,"Ohman, Erik Magnus",Medicine,39
261,2305.2097,-192.14816,"Piccini Sr., Jonathan Paul",Medicine,39
262,2078.8652,-469.7534,"Hasselblad, Victor",Biostatistics & Bioinformatics,9
263,2122.792,774.8151,"Levy, Jerrold Henry",Anesthesiology,2
264,2354.7861,-36.277534,"Smith, Peter Kent",Surgery,68
265,2641.515,-225.0211,"Newby, Laura Kristin",Medicine,39
266,1238.8569,-270.92392,"Krucoff, Mitchell Wolfe",Medicine,39
267,2449.82,266.99252,"Mathew, Joseph P.",Anesthesiology,2
268,2003.0448,504.93185,"Newman, Mark Franklin",Anesthesiology,2
269,1285.1493,-797.72217,"Podgoreanu, Mihai V.",Anesthesiology,2
270,2404.724,85.6363,"Al-Khalidi, Hussein Rashid",Biostatistics & Bioinformatics,9
271,1970.7528,693.5323,"Green, Jennifer Brigitte",Medicine,39
272,2173.7395,-169.56477,"Thomas, Laine Elliott",Biostatistics & Bioinformatics,9
273,2301.2666,83.9805,"Glower Jr., Donald D.",Surgery,68
274,1837.5636,-592.83887,"Wang, Andrew",Medicine,39
275,2472.7764,-336.36392,"Al-Khatib, Sana Mustapha",Medicine,39
276,2800.1157,-137.20483,"Patel, Manesh Raman",Medicine,39
277,2027.4218,-320.85208,"Brennan, J. Matthew",Medicine,39
278,2161.1375,86.00555,"O'Brien, Sean Michael",Biostatistics & Bioinformatics,9
279,2218.7307,-267.06747,"Alexander, Karen Patton",Medicine,39
280,2585.5137,-350.36508,"Roe, Matthew Todd",Medicine,39
281,2452.9768,-236.10649,"Wang, Yu-Ping",Medicine,39
282,1154.7443,-24.157415,"Atwater, Brett David",Medicine,39
283,109.41949,171.6127,"Bahnson, Tristram Dan",Medicine,39
284,1362.658,92.127914,"Daubert, James Patrick",Medicine,39
285,1348.3984,-389.8336,"Harrison, Robert William",Medicine,39
286,1479.201,-224.76624,"Jones, William Schuyler",Medicine,39
287,1779.9675,430.17667,"Daneshmand, Mani Ali",Surgery,68
288,2624.5845,165.27722,"Velazquez, Eric Jose",Medicine,39
289,2388.9546,-150.63857,"Tricoci, Pierluigi",Medicine,39
290,1490.4414,1124.8251,"Anstrom, Kevin J.",Biostatistics & Bioinformatics,9
291,550.47687,1361.6284,"Chow, Shein-Chung",Biostatistics & Bioinformatics,9
292,2665.5232,83.29742,"Lee, Kerry L.",Biostatistics & Bioinformatics,9
293,382.31216,1553.8818,"Pencina, Michael J",Biostatistics & Bioinformatics,9
294,1582.2681,-682.6735,"Mathews, Robin",Medicine,39
295,1926.782,-358.01712,"Allen LaPointe, Nancy Marie",Medicine,39
296,1559.3215,-173.29338,"Melloni, Chiara",Medicine,39
297,-1807.0428,188.00288,"Bettger, Janet Prvu",School of Nursing,63
298,1993.496,-506.81857,"Coeytaux, Remy Rene",Community and Family Medicine,14
299,2175.6938,-351.95355,"Dolor, Rowena Joy",Medicine,39
300,1677.5461,-408.75333,"Graffagnino, Carmelo",Neurology,43
301,30.519808,-379.6055,"Holsinger, Tracey C.",Psychiatry & Behavioral Sciences,55
302,1774.1139,-530.8063,"Kong, David Franklin",Medicine,39
303,1099.3953,-675.6857,"Kramer, Judith Mae",Medicine,39
304,2339.1167,-286.68503,"Xian, Ying",Medicine,39
305,1821.9137,252.30605,"Al-Hegelan, Mashael",Medicine,39
306,1357.306,1247.3167,"Tighe, Robert Matthew",Medicine,39
307,1957.0643,373.14554,"Cheifetz, Ira Marc",Pediatrics,48
308,1105.0609,-379.83673,"Ozment, Caroline Pinson",Pediatrics,48
309,1794.0709,339.67123,"Rehder, Kyle Jason",Pediatrics,48
310,1839.3503,477.0114,"Turner, David Ashley",Pediatrics,48
311,2064.253,244.27663,"Huang, Yuh-Chin Tony",Medicine,39
312,1798.9445,746.3251,"MacIntyre Jr., Neil Ross",Medicine,39
313,1158.9344,-1335.051,"Ali-Osman, Francis",Surgery,68
314,1595.8534,221.82857,"Ilyasova, Dora",Community and Family Medicine,14
315,1284.1929,-1206.5894,"Paschen, Wulf",Anesthesiology,2
316,1180.9327,-1425.4503,"Pearlstein, Robert D.",Surgery,68
317,1305.2189,-1289.2507,"Yang, Wei",Anesthesiology,2
318,-158.50267,1384.3857,"Dewhirst, Mark Wesley",Radiation Oncology,57
319,2717.9438,-63.514492,"Hernandez, Adrian Felipe",Medicine,39
320,1769.7957,-351.01898,"Thomas, Kevin Lindsey",Medicine,39
321,1956.7847,-63.702248,"Jones, Robert H.",Surgery,68
322,2457.2878,-83.508026,"Mark, Daniel Benjamin",Medicine,39
323,2252.9688,-464.01437,"Schmidler, Gillian Denise  Sanders",Medicine,39
324,2548.812,245.26758,"Kim, Raymond J.",Medicine,39
325,2703.6814,216.33652,"Douglas, Pamela Susan",Medicine,39
326,419.39026,1030.4379,"Kosinski, Andrzej Stanislaw",Biostatistics & Bioinformatics,9
327,2089.32,-173.64384,"Eapen, Zubin John",Medicine,39
328,1251.6002,60.510857,"Hranitzky, Patrick M.",Medicine,39
329,671.57043,241.25316,"Koontz, Jason",Medicine,39
330,1823.6724,13.326499,"Shah, Svati Hasmukh",Medicine,39
331,1591.4677,-793.73376,"Lokhnygina, Yuliya Vladimirovna",Biostatistics & Bioinformatics,9
332,1408.9371,-66.751076,"Jackson, Kevin Patrick",Medicine,39
333,1437.1259,44.53219,"Hegland, Donald Dale",Medicine,39
334,723.3495,-473.3134,"Anderson, Monique",Medicine,39
335,2070.1018,-581.0971,"Chatterjee, Ranee",Medicine,39
336,-132.4051,-1625.7966,"Dupre, Matthew Egan",Community and Family Medicine,14
337,2230.8386,1282.4423,"Pun, Patrick Hank",Medicine,39
338,1234.6359,1003.59076,"Eisenstein, Eric Leo",Medicine,39
339,924.8261,385.82565,"Johnson, Frederick Salvatore",Community and Family Medicine,14
340,38.52432,1472.5809,"Allen, Andrew Scott",Biostatistics & Bioinformatics,9
341,48.158443,2013.6013,"Goldstein, David Benjamin",Molecular Genetics and Microbiology,40
342,-83.541084,1787.3357,"Heinzen-Cox, Erin Lynne",Medicine,39
343,-163.02158,1745.8713,"Need, Anna Christina",Medicine,39
344,-85.368385,1592.2822,"Shashi, Vandana",Pediatrics,48
345,1399.9707,-703.285,"Fowler Jr., Vance Garrison",Medicine,39
346,1123.7008,1141.8649,"Allen, Barry W.",Anesthesiology,2
347,1185.7462,1646.4263,"Piantadosi, Claude Anthony",Medicine,39
348,1866.9757,-64.47523,"Kraus, William Erle",Medicine,39
349,-37.58111,720.1182,"Dahl, Jeremy",Biomedical Engineering,8
350,45.65537,730.23773,"Trahey, Gregg E.",Biomedical Engineering,8
351,56.492676,385.20334,"Li, Yi-Ju",Biostatistics & Bioinformatics,9
352,2259.9568,-660.5086,"Lien, Lillian Frances",Medicine,39
353,2438.5806,-780.94434,"Lin, Pao-Hwa",Medicine,39
354,2229.7979,159.86923,"Svetkey, Laura Pat",Medicine,39
355,410.58545,1257.7253,"Blackwell, Kimberly Lynn",Medicine,39
356,1244.6973,737.02734,"Kimmick, Gretchen Genevieve",Medicine,39
357,641.4822,901.65515,"Marcom, Paul Kelly",Medicine,39
358,-649.3043,1508.1373,"Turkington, Timothy Garvey",Radiology,58
359,1232.8911,-730.0161,"Pieper, Carl F.",Biostatistics & Bioinformatics,9
360,897.9104,-1251.4916,"Allen, Kelli Dominick",Medicine,39
361,-1029.3468,-468.19733,"Coffman, Cynthia Jan",Biostatistics & Bioinformatics,9
362,1203.1771,-932.75574,"Datta, Santanu Kumar",Medicine,39
363,1305.6797,-1612.5254,"Sperber, Nina",Medicine,39
364,-610.3984,-1324.0829,"Strauss, Jennifer Leigh",Psychiatry & Behavioral Sciences,55
365,1508.7644,-357.7622,"Yancy Jr., William Samuel",Medicine,39
366,1269.06,-128.36636,"Edelman, David Edward",Medicine,39
367,1684.8346,-73.691444,"Hall, Katherine Shepherd",Medicine,39
368,658.05023,-1051.6876,"Hoenig, Helen Marie",Medicine,39
369,1153.222,-1674.8691,"Maciejewski, Matthew Leonard",Medicine,39
370,1114.4923,-114.97822,"Voils, Corrine Ione",Medicine,39
371,-1306.0603,739.0106,"Goode, Adam Payne",Community and Family Medicine,14
372,2575.6814,-1014.1459,"Corsino, Leonor Adalgisa",Medicine,39
373,572.9729,-1116.938,"Allen, Nancy Bates",Medicine,39
374,954.9709,-1377.5248,"St. Clair, Eugene William",Medicine,39
375,1230.3221,-1722.0679,"Clowse, Megan Elizabeth Bowles",Medicine,39
376,1155.46,190.35449,"Allen, Terrence Kelburn",Anesthesiology,2
377,1929.228,459.60028,"Habib, Ashraf Samir",Anesthesiology,2
378,1257.925,198.43141,"Small, Maria Jacqueline",Obstetrics and Gynecology,44
379,1196.4567,138.43703,"Jones, Cheryl Ann",Anesthesiology,2
380,1532.6926,377.7374,"Brown, Haywood Laverne",Obstetrics and Gynecology,44
381,2121.0317,973.85657,"Gan, Tong Joo",Anesthesiology,2
382,1158.4901,-234.20436,"Muir, Holly Ann",Anesthesiology,2
383,708.1911,-258.74036,"Peterson-Layne, Cathleen Louise",Anesthesiology,2
