id,author,department,dept_id
52,"Salama, April Kelly Scott",Medicine,39
53,"Selim, Maria Angelica",Pathology,47
54,"Tyler, Douglas Scott",Surgery,68
55,"Curtis, Lesley Huntley",Medicine,39
56,"Patz Jr., Edward F.",Radiology,58
57,"Schulman, Kevin Alan",Medicine,39
58,"O'Connor, Christopher Michael",Medicine,39
59,"Rogers, Joseph G.",Medicine,39
60,"Koenig, Harold G.",Psychiatry & Behavioral Sciences,55
61,"Pruitt, Scott Knowles",Surgery,68
62,"Scheri, Randall Paul",Surgery,68
63,"Bosworth, Hayden Barry",Medicine,39
64,"Bartlett, John Alexander",Medicine,39
65,"Zullig, Leah L",Medicine,39
66,"Berchuck, Andrew",Obstetrics and Gynecology,44
67,"Havrilesky, Laura Jean",Obstetrics and Gynecology,44
68,"Lee, Paula Sowon",Obstetrics and Gynecology,44
69,"Secord, Angeles Alvarez",Obstetrics and Gynecology,44
70,"Valea, Fidel Arthur",Obstetrics and Gynecology,44
71,"Califf, Robert M.",Medicine,39
72,"George, Daniel James",Medicine,39
73,"Harrison, Michael Roger",Medicine,39
74,"Somers, Tamara J.",Psychiatry & Behavioral Sciences,55
75,"Abou-Donia, Mohamed Bahie",Pharmacology & Cancer Biology,49
76,"Abraham, Dennis M",Medicine,39
77,"Bursac, Nenad",Biomedical Engineering,8
78,"Rockman, Howard Allan",Medicine,39
79,"Wolf, Matthew Joseph",Medicine,39
80,"Mao, Lan",Medicine,39
81,"Marchuk, Douglas Alan",Molecular Genetics and Microbiology,40
82,"Abraham, Soman Ninan",Pathology,47
83,"Staats, Herman Ford",Pathology,47
84,"Foster, William Michael",Medicine,39
85,"Sempowski, Gregory David",Medicine,39
86,"Hollingsworth II, John William",Medicine,39
87,"Stripp, Barry Raymond",Medicine,39
88,"Leong, Kam",Biomedical Engineering,8
89,"Kraft, Monica",Medicine,39
90,"Ledford, Julie",Medicine,39
91,"Lugogo, Njira Lucia",Medicine,39
92,"Hale, Laura Pope",Pathology,47
93,"Karhausen, Jorn",Anesthesiology,2
94,"Ma, Qing",Anesthesiology,2
95,"Gunn, Michael Dee",Medicine,39
96,"Hartwig, Matthew",Surgery,68
97,"Lin, Shu Shiuh-Shi",Surgery,68
98,"Parker, William",Surgery,68
99,"Acheson, Shawn K.",Psychiatry & Behavioral Sciences,55
100,"Beckham, Jean Crowell",Psychiatry & Behavioral Sciences,55
101,"Calhoun, Patrick Shields",Psychiatry & Behavioral Sciences,55
102,"Kuhn, Cynthia Moreton",Pharmacology & Cancer Biology,49
103,"Swartzwelder, Harry Scott",Psychiatry & Behavioral Sciences,55
104,"Wilson Jr., Wilkie Andrew",Social Science Research Institute,65
105,"Dedert, Eric",Psychiatry & Behavioral Sciences,55
106,"Moore, Scott Daniel",Psychiatry & Behavioral Sciences,55
107,"Fleming, Rebekah",Psychiatry & Behavioral Sciences,55
108,"Gierisch, Jennifer M.",Medicine,39
109,"Levin, Edward Daniel",Psychiatry & Behavioral Sciences,55
110,"Rezvani, Amir H.",Psychiatry & Behavioral Sciences,55
111,"Bennett, Ellen Ruth",Neurology,43
112,"James, Michael Lucas",Anesthesiology,2
113,"Lascola, Christopher David",Radiology,58
114,"Laskowitz, Daniel Todd",Neurology,43
115,"Vitek, Michael P.",Neurology,43
116,"Wang, Haichen",Neurology,43
117,"Madison, Roger D.",Surgery,68
118,"Klein, Rebecca Christine",Psychiatry & Behavioral Sciences,55
119,"Achneck, Hardean",Surgery,68
120,"Truskey, George A.",Biomedical Engineering,8
121,"Allen, Jason David",Community and Family Medicine,14
122,"Lawson, Jeffrey Harold",Surgery,68
123,"Milano, Carmelo Alessio",Surgery,68
124,"Reichert, William M.",Biomedical Engineering,8
125,"Adair, Bill",Sanford School of Public Policy,61
126,"Adam, Soheir Saeed",Medicine,39
127,"Ortel, Thomas Lee",Medicine,39
128,"Williams Jr., John Wiley",Medicine,39
129,"Adams Jr., Samuel Bruce",Orthopaedics,46
130,"DeOrio, James Keith",Orthopaedics,46
131,"Easley, Mark Erik",Orthopaedics,46
132,"Nunley II, James Albert",Orthopaedics,46
133,"Stinnett, Sandra Sue",Biostatistics & Bioinformatics,9
134,"Setton, Lori A.",Biomedical Engineering,8
135,"Queen, Robin Marie",Orthopaedics,46
136,"Bolognesi, Michael Paul",Orthopaedics,46
137,"Toth, Alison Patricia",Orthopaedics,46
138,"Kraus, Virginia Byers",Medicine,39
139,"Schmitt, Daniel Oliver",Evolutionary Anthropology,29
140,"Parekh, Selene Gunvant",Orthopaedics,46
141,"Butler, Robert John",Community and Family Medicine,14
142,"Adams, David John",Medicine,39
143,"Driscoll, Timothy Alan",Pediatrics,48
144,"Nixon, Andrew Benjamin",Medicine,39
145,"Adams, Martha Bennett",Medicine,39
146,"Grambow, Steven C.",Biostatistics & Bioinformatics,9
147,"Oddone, Eugene Zaverio",Medicine,39
148,"Peterson, Eric David",Medicine,39
149,"Shah, Bimal Ramesh",Medicine,39
150,"Adamson, David Cory",Surgery,68
151,"McLendon, Roger Edwin",Pathology,47
152,"Hoffman, Maureane Richardson",Pathology,47
153,"Turner, Dennis Alan",Surgery,68
154,"Bigner, Darell Doty",Pathology,47
155,"Gregory, Simon Gray",Medicine,39
156,"Friedman, Allan Howard",Surgery,68
157,"Lark, Amy Langdon",Pathology,47
158,"Kirkpatrick, John P.",Radiation Oncology,57
159,"Kranz, Peter George",Radiology,58
160,"Cummings, Thomas John",Pathology,47
161,"Adamson, Justus D",Radiation Oncology,57
162,"Wu, Qiuwen",Radiation Oncology,57
163,"Yin, Fang-Fang",Radiation Oncology,57
164,"Bowsher, James E.",Radiation Oncology,57
165,"Cai, Jing",Radiation Oncology,57
166,"Chang, Zheng",Radiation Oncology,57
167,"Ren, Lei",Radiation Oncology,57
168,"Wang, Zhiheng",Radiation Oncology,57
169,"Yoo, Sua",Radiation Oncology,57
170,"Horton, Janet Knight",Radiation Oncology,57
171,"Palta, Manisha",Radiation Oncology,57
172,"Chino, Junzo Paul",Radiation Oncology,57
173,"Craciunescu, Oana",Radiation Oncology,57
174,"Oldham, Mark",Radiation Oncology,57
175,"Yan, Hui",Radiation Oncology,57
176,"Adcock, Rachel Alison",Psychiatry & Behavioral Sciences,55
177,"LaBar, Kevin S.",Psychology and Neuroscience,56
178,"Huettel, Scott",Psychology and Neuroscience,56
179,"Mitroff, Stephen",Psychology and Neuroscience,56
180,"Keefe, Richard S.E.",Psychiatry & Behavioral Sciences,55
181,"Kollins, Scott Haden",Psychiatry & Behavioral Sciences,55
182,"Addington, Nicolas Michael",Mathematics,36
183,"Aspinwall, Paul Stephen",Mathematics,36
184,"Adelino, Manuel Neves",Fuqua School of Business,30
185,"Adibe, Obinna Ogochukwu",Surgery,68
186,"Agarwal, Pankaj K.",Computer Science,15
187,"Yang, Jun",Computer Science,15
188,"Clark, James S.",Environmental Sciences and Policy,28
189,"Gelfand, Alan",Statistical Science,67
190,"Ahmed, Mohammad Waseem",Physics,51
191,"Wu, Ying",Physics,51
192,"Tornow, Werner",Physics,51
193,"Ahn, Seungkirl",Medicine,39
194,"Lefkowitz, Robert J.",Medicine,39
195,"Shenoy, Sudha Kaup",Medicine,39
196,"Xiao, Kevin",Medicine,39
197,"Oas, Terrence Gilbert",Biochemistry,6
198,"Ake III, George Simpson",Psychiatry,54
199,"Briggs-King, Ernestine Cabady",Psychiatry,54
200,"Fairbank, John A.",Psychiatry,54
201,"Gerrity, Ellen Terese",Psychiatry,54
202,"Amaya-Jackson, Lisa M.",Psychiatry,54
203,"Murphy, Robert A.",Psychiatry,54
204,"Alam, S. Munir",Medicine,39
205,"Denny, Thomas Norton",Medicine,39
206,"Haynes, Barton Ford",Medicine,39
207,"Kelsoe, Garnett H.",Immunology,33
208,"Liao, Hua-Xin",Medicine,39
209,"McClain, Micah Thomas",Medicine,39
210,"Moody, Michael Anthony",Pediatrics,48
211,"Tomaras, Georgia Doris",Surgery,68
212,"Vandergrift, Nathan A.",Medicine,39
213,"Walter Jr., Emmanuel Benjamin",Pediatrics,48
214,"Whitesides, John Franklin",Medicine,39
215,"Woods, Christopher Wildrick",Medicine,39
216,"Yu, Jae-Sung",Medicine,39
217,"Montefiori, David Charles",Surgery,68
218,"Shen, Xiaoying",Medicine,39
219,"Ferrari, Guido",Surgery,68
220,"Bonsignori, Mattia",Medicine,39
221,"Verkoczy, Laurent Karl",Medicine,39
222,"Gao, Feng",Medicine,39
223,"Permar, Sallie Robey",Pediatrics,48
224,"Zauscher, Stefan",Mechanical Engineering and Materials Science,37
225,"Spicer, Leonard D.",Radiology,58
226,"Erickson, Harold Paul",Cell Biology,10
227,"Ohashi, Tomoo",Cell Biology,10
228,"LaBranche, Celia Crane",Surgery,68
229,"Donald, Bruce Randall",Computer Science,15
230,"Alberts, Susan C.",Biology,7
231,"Morris, William F.",Biology,7
232,"Pusey, Anne",Evolutionary Anthropology,29
233,"Tung, Jenny",Evolutionary Anthropology,29
234,"Wray, Gregory Allan",Biology,7
235,"Mukherjee, Shayan",Statistical Science,67
236,"Albertson, John D.",Civil and Environmental Engineering,12
237,"Katul, Gabriel G.",Environmental Sciences and Policy,28
238,"Marani, Marco",Earth and Ocean Sciences,23
239,"Albright, Elizabeth A",Environmental Sciences and Policy,28
240,"Alexander, Barbara Dudley",Medicine,39
241,"Perfect, John Robert",Medicine,39
242,"Reller, Lyman Barth",Pathology,47
243,"Schell, Wiley Alexander",Medicine,39
244,"Johnson, Melissa DePaoli",Medicine,39
245,"Smith, Phillip Brian",Pediatrics,48
246,"Zaas, Aimee Kirsch",Medicine,39
247,"Benjamin Jr., Daniel Kelly",Pediatrics,48
248,"Drew, Richard Howard",Medicine,39
249,"Costa, Sylvia Fernandes de Castro",Medicine,39
250,"Howell, David Noble",Pathology,47
251,"Miller, Sara Elizabeth",Pathology,47
252,"Smith, Stephen Richard",Medicine,39
253,"Horan, Jennifer",Medicine,39
254,"Alexander, John Hunter Peel",Medicine,39
255,"Becker, Richard Clinton",Medicine,39
256,"Povsic, Thomas Joseph",Medicine,39
257,"Lopes, Renato Delascio",Medicine,39
258,"Granger, Christopher Bull",Medicine,39
259,"Rao, Sunil Vadlakonda",Medicine,39
260,"Ohman, Erik Magnus",Medicine,39
261,"Piccini Sr., Jonathan Paul",Medicine,39
262,"Hasselblad, Victor",Biostatistics & Bioinformatics,9
263,"Levy, Jerrold Henry",Anesthesiology,2
264,"Smith, Peter Kent",Surgery,68
265,"Newby, Laura Kristin",Medicine,39
266,"Krucoff, Mitchell Wolfe",Medicine,39
267,"Mathew, Joseph P.",Anesthesiology,2
268,"Newman, Mark Franklin",Anesthesiology,2
269,"Podgoreanu, Mihai V.",Anesthesiology,2
270,"Al-Khalidi, Hussein Rashid",Biostatistics & Bioinformatics,9
271,"Green, Jennifer Brigitte",Medicine,39
272,"Thomas, Laine Elliott",Biostatistics & Bioinformatics,9
273,"Glower Jr., Donald D.",Surgery,68
274,"Wang, Andrew",Medicine,39
275,"Al-Khatib, Sana Mustapha",Medicine,39
276,"Patel, Manesh Raman",Medicine,39
277,"Brennan, J. Matthew",Medicine,39
278,"O'Brien, Sean Michael",Biostatistics & Bioinformatics,9
279,"Alexander, Karen Patton",Medicine,39
280,"Roe, Matthew Todd",Medicine,39
281,"Wang, Yu-Ping",Medicine,39
282,"Atwater, Brett David",Medicine,39
283,"Bahnson, Tristram Dan",Medicine,39
284,"Daubert, James Patrick",Medicine,39
285,"Harrison, Robert William",Medicine,39
286,"Jones, William Schuyler",Medicine,39
287,"Daneshmand, Mani Ali",Surgery,68
288,"Velazquez, Eric Jose",Medicine,39
289,"Tricoci, Pierluigi",Medicine,39
290,"Anstrom, Kevin J.",Biostatistics & Bioinformatics,9
291,"Chow, Shein-Chung",Biostatistics & Bioinformatics,9
292,"Lee, Kerry L.",Biostatistics & Bioinformatics,9
293,"Pencina, Michael J",Biostatistics & Bioinformatics,9
294,"Mathews, Robin",Medicine,39
295,"Allen LaPointe, Nancy Marie",Medicine,39
296,"Melloni, Chiara",Medicine,39
297,"Bettger, Janet Prvu",School of Nursing,63
298,"Coeytaux, Remy Rene",Community and Family Medicine,14
299,"Dolor, Rowena Joy",Medicine,39
300,"Graffagnino, Carmelo",Neurology,43
301,"Holsinger, Tracey C.",Psychiatry & Behavioral Sciences,55
302,"Kong, David Franklin",Medicine,39
303,"Kramer, Judith Mae",Medicine,39
304,"Xian, Ying",Medicine,39
305,"Al-Hegelan, Mashael",Medicine,39
306,"Tighe, Robert Matthew",Medicine,39
307,"Cheifetz, Ira Marc",Pediatrics,48
308,"Ozment, Caroline Pinson",Pediatrics,48
309,"Rehder, Kyle Jason",Pediatrics,48
310,"Turner, David Ashley",Pediatrics,48
311,"Huang, Yuh-Chin Tony",Medicine,39
312,"MacIntyre Jr., Neil Ross",Medicine,39
313,"Ali-Osman, Francis",Surgery,68
314,"Ilyasova, Dora",Community and Family Medicine,14
315,"Paschen, Wulf",Anesthesiology,2
316,"Pearlstein, Robert D.",Surgery,68
317,"Yang, Wei",Anesthesiology,2
318,"Dewhirst, Mark Wesley",Radiation Oncology,57
319,"Hernandez, Adrian Felipe",Medicine,39
320,"Thomas, Kevin Lindsey",Medicine,39
321,"Jones, Robert H.",Surgery,68
322,"Mark, Daniel Benjamin",Medicine,39
323,"Schmidler, Gillian Denise  Sanders",Medicine,39
324,"Kim, Raymond J.",Medicine,39
325,"Douglas, Pamela Susan",Medicine,39
326,"Kosinski, Andrzej Stanislaw",Biostatistics & Bioinformatics,9
327,"Eapen, Zubin John",Medicine,39
328,"Hranitzky, Patrick M.",Medicine,39
329,"Koontz, Jason",Medicine,39
330,"Shah, Svati Hasmukh",Medicine,39
331,"Lokhnygina, Yuliya Vladimirovna",Biostatistics & Bioinformatics,9
332,"Jackson, Kevin Patrick",Medicine,39
333,"Hegland, Donald Dale",Medicine,39
334,"Anderson, Monique",Medicine,39
335,"Chatterjee, Ranee",Medicine,39
336,"Dupre, Matthew Egan",Community and Family Medicine,14
337,"Pun, Patrick Hank",Medicine,39
338,"Eisenstein, Eric Leo",Medicine,39
339,"Johnson, Frederick Salvatore",Community and Family Medicine,14
340,"Allen, Andrew Scott",Biostatistics & Bioinformatics,9
341,"Goldstein, David Benjamin",Molecular Genetics and Microbiology,40
342,"Heinzen-Cox, Erin Lynne",Medicine,39
343,"Need, Anna Christina",Medicine,39
344,"Shashi, Vandana",Pediatrics,48
345,"Fowler Jr., Vance Garrison",Medicine,39
346,"Allen, Barry W.",Anesthesiology,2
347,"Piantadosi, Claude Anthony",Medicine,39
348,"Kraus, William Erle",Medicine,39
349,"Dahl, Jeremy",Biomedical Engineering,8
350,"Trahey, Gregg E.",Biomedical Engineering,8
351,"Li, Yi-Ju",Biostatistics & Bioinformatics,9
352,"Lien, Lillian Frances",Medicine,39
353,"Lin, Pao-Hwa",Medicine,39
354,"Svetkey, Laura Pat",Medicine,39
355,"Blackwell, Kimberly Lynn",Medicine,39
356,"Kimmick, Gretchen Genevieve",Medicine,39
357,"Marcom, Paul Kelly",Medicine,39
358,"Turkington, Timothy Garvey",Radiology,58
359,"Pieper, Carl F.",Biostatistics & Bioinformatics,9
360,"Allen, Kelli Dominick",Medicine,39
361,"Coffman, Cynthia Jan",Biostatistics & Bioinformatics,9
362,"Datta, Santanu Kumar",Medicine,39
363,"Sperber, Nina",Medicine,39
364,"Strauss, Jennifer Leigh",Psychiatry & Behavioral Sciences,55
365,"Yancy Jr., William Samuel",Medicine,39
366,"Edelman, David Edward",Medicine,39
367,"Hall, Katherine Shepherd",Medicine,39
368,"Hoenig, Helen Marie",Medicine,39
369,"Maciejewski, Matthew Leonard",Medicine,39
370,"Voils, Corrine Ione",Medicine,39
371,"Goode, Adam Payne",Community and Family Medicine,14
372,"Corsino, Leonor Adalgisa",Medicine,39
373,"Allen, Nancy Bates",Medicine,39
374,"St. Clair, Eugene William",Medicine,39
375,"Clowse, Megan Elizabeth Bowles",Medicine,39
376,"Allen, Terrence Kelburn",Anesthesiology,2
377,"Habib, Ashraf Samir",Anesthesiology,2
378,"Small, Maria Jacqueline",Obstetrics and Gynecology,44
379,"Jones, Cheryl Ann",Anesthesiology,2
380,"Brown, Haywood Laverne",Obstetrics and Gynecology,44
381,"Gan, Tong Joo",Anesthesiology,2
382,"Muir, Holly Ann",Anesthesiology,2
383,"Peterson-Layne, Cathleen Louise",Anesthesiology,2
384,"Feng, Liping",Obstetrics and Gynecology,44
385,"Murtha, Amy Patricia",Obstetrics and Gynecology,44
386,"Allingham, Robert Rand",Ophthalmology,45
387,"Challa, Pratap",Ophthalmology,45
388,"Herndon Jr., Leon Walker",Ophthalmology,45
389,"Liu, Yutao",Medicine,39
390,"Katsanis, Nicholas",Cell Biology,10
391,"Klintworth, Gordon Kenneth",Pathology,47
392,"Bowes Rickman, Catherine",Ophthalmology,45
393,"Asrani, Sanjay Girdhari",Ophthalmology,45
394,"Klitzman, Bruce",Surgery,68
395,"Rosdahl, Jullia Ann",Ophthalmology,45
396,"Chiba-Falek, Ornit",Neurology,43
397,"Roses, Allen D.",Neurology,43
398,"Welsh-Bohmer, Kathleen Anne",Psychiatry & Behavioral Sciences,55
399,"Whitfield, Keith E.",Psychology and Neuroscience,56
400,"McKinnon, Stuart James",Ophthalmology,45
401,"Muir, Kelly Walton",Ophthalmology,45
402,"Young, Terri Lois",Ophthalmology,45
403,"Stamer, W Daniel",Ophthalmology,45
404,"Oh, Edwin",Neurology,43
405,"Alman, Benjamin Aaron",Orthopaedics,46
406,"Almekinders, Louis Cornelis",Orthopaedics,46
407,"Alspaugh II, James Andrew",Medicine,39
408,"Cox, Gary Matthew",Medicine,39
409,"Stout, Jason Eric",Medicine,39
410,"Beese, Lorena Sue",Biochemistry,6
411,"Hellinga, Homme Wytzes",Biochemistry,6
412,"Dietrich, Fred Samuel",Molecular Genetics and Microbiology,40
413,"Altomare, Ivy Paige",Medicine,39
414,"Blobe, Gerard Conrad",Medicine,39
415,"Hsu, Shiao-Wen David",Medicine,39
416,"Hurwitz, Herbert Ira",Medicine,39
417,"Morse, Michael Aaron",Medicine,39
418,"Sutton, Linda Marie",Medicine,39
419,"Amaldoss, Wilfred",Fuqua School of Business,30
420,"Dodge, Kenneth A.",Sanford School of Public Policy,61
421,"Ambrus, Attila",Economics,24
422,"Ames, Warwick Aubrey",Anesthesiology,2
423,"Hill, Kevin Dennis",Pediatrics,48
424,"Jooste, Edmund Hilton",Anesthesiology,2
425,"Amundsen, Cindy Louise",Obstetrics and Gynecology,44
426,"Grill, Warren M.",Biomedical Engineering,8
427,"Webster, George David",Surgery,68
428,"Siddiqui, Nazema Yusuf",Obstetrics and Gynecology,44
429,"Weidner, Alison Catherine",Obstetrics and Gynecology,44
430,"Visco, Anthony Gabriele",Obstetrics and Gynecology,44
431,"Kawasaki, Amie",Obstetrics and Gynecology,44
432,"Krystal, Andrew Darrell",Psychiatry & Behavioral Sciences,55
433,"Preud' homme, Xavier A.",Psychiatry & Behavioral Sciences,55
434,"Ananat, Elizabeth Oltmans",Sanford School of Public Policy,61
435,"Gassman-Pines, Anna",Sanford School of Public Policy,61
436,"Gibson-Davis, Christina M.",Sanford School of Public Policy,61
437,"Anderson, Deverick John",Medicine,39
438,"Cunningham, Coleen Kathryn",Pediatrics,48
439,"Hendershot, Edward Ferguson",Medicine,39
440,"Sangvai, Devdutta Gangadhar",Community and Family Medicine,14
441,"Tsalik, Ephraim",Medicine,39
442,"Chen, Luke Francis",Medicine,39
443,"Sexton, Daniel John",Medicine,39
444,"Wolfe, Cameron Robert",Medicine,39
445,"Schmader, Kenneth Edwin",Medicine,39
446,"Davis Jr., Robert Duane",Surgery,68
447,"Onaitis, Mark William",Surgery,68
448,"Snyder, Laurie Dee",Medicine,39
449,"Moehring, Rebekah",Medicine,39
450,"Ming, David Yung",Medicine,39
451,"Vaslef, Steven Nicholas",Surgery,68
452,"Harrison, John Kevin",Medicine,39
453,"Joyce, Maria Josephine",Medicine,39
454,"Anderson, Kristin Ann",Pharmacology & Cancer Biology,49
455,"Hirschey, Matthew",Medicine,39
456,"Newgard, Christopher Bang",Pharmacology & Cancer Biology,49
457,"Stevens, Robert David",Medicine,39
458,"Anderson, Ruth A.",School of Nursing,63
459,"Bailey Jr., Donald Etheridge",School of Nursing,63
460,"Docherty, Sharron Lee",School of Nursing,63
461,"McConnell, Eleanor Schildwachter",School of Nursing,63
462,"Short, Nancy Munn",School of Nursing,63
463,"Corazzini, Kirsten N",School of Nursing,63
464,"Colon-Emeric, Cathleen Sellner",Medicine,39
465,"Granger, Bradi Bartrug",School of Nursing,63
466,"Galanos, Anthony Nicholas",Medicine,39
467,"Day, Lisa J",School of Nursing,63
468,"Pinheiro, Sandro Oliveira",Medicine,39
469,"Steinhauser, Karen E.",Medicine,39
470,"Andolsek, Kathryn Marijoan",Community and Family Medicine,14
471,"Frush, Karen Sue Hamilton",Pediatrics,48
472,"Griffith, Brian Carey",Medicine,39
473,"Stephany, Alyssa Marie",Pediatrics,48
474,"Dzau, Victor J.",Medicine,39
475,"Murphy, Gwendolyn Curtis",Community and Family Medicine,14
476,"Nagler, Alisa",Medical Education,38
477,"Weinerth, John Louis",Surgery,68
478,"Boggan, Joel",Medicine,39
479,"Andrews, Nancy Catherine",Pediatrics,48
480,"Angold, Adrian Christopher",Psychiatry,54
481,"Copeland, William Everett",Psychiatry,54
482,"Costello, Elizabeth Jane",Psychiatry,54
483,"Egger, Helen Link",Psychiatry,54
484,"Erkanli, Alaattin",Biostatistics & Bioinformatics,9
485,"Patkar, Ashwin Anand",Psychiatry & Behavioral Sciences,55
486,"Angrist, Misha",Social Science Research Institute,65
487,"Davis, Erica Ellen",Pediatrics,48
488,"Jiang, Yong-Hui",Pediatrics,48
489,"Kawamoto, Kensaku",Community and Family Medicine,14
490,"Lobach, David Franklin",Community and Family Medicine,14
491,"Olsen, Elise Arline",Dermatology,18
492,"Felker, Gary Michael",Medicine,39
493,"Patel, Uptal Dinesh",Medicine,39
494,"Cowper, Patricia Agnes",Medicine,39
495,"Chu, Vivian Hou",Medicine,39
496,"Corey, Gordon Ralph",Medicine,39
497,"Crowley, Anna Lisa Chamis",Medicine,39
498,"Holland, Thomas Lawrence",Medicine,39
499,"Samad, Zainab",Medicine,39
500,"Morrison, Lake Daniel",Medicine,39
501,"Sundy, John Sargent",Medicine,39
502,"Reed, Shelby Derene",Medicine,39
503,"Anthony, Kelly Kosobucki",Psychiatry,54
504,"Schanberg, Laura Eve",Pediatrics,48
505,"Bonner, Melanie Jean",Psychiatry,54
506,"Anton, James J.",Fuqua School of Business,30
507,"Lewis, Tracy R.",Fuqua School of Business,30
508,"Appelbaum, Lawrence Gregory",Psychiatry & Behavioral Sciences,55
509,"Woldorff, Marty G.",Psychiatry & Behavioral Sciences,55
510,"Applegate, Katherine Lynn",Psychiatry & Behavioral Sciences,55
511,"Grant, John Palmer",Surgery,68
512,"Friedman, Kelli E.",Psychiatry & Behavioral Sciences,55
513,"Portenier, Dana Dale",Surgery,68
514,"Aquino, Wilkins",Civil and Environmental Engineering,12
515,"Arcasoy, Murat Osman",Medicine,39
516,"Boswell, Elizabeth Louise",Pathology,47
517,"Wang, Endi",Pathology,47
518,"Arce, Ayana T",Physics,51
519,"Oh, Seog",Physics,51
520,"Kotwal, Ashutosh V.",Physics,51
521,"Goshaw, Alfred T.",Physics,51
522,"Kruse, Mark Charles",Physics,51
523,"Archer, Gerald Edward",Surgery,68
524,"Desjardins, Annick",Neurology,43
525,"Friedman, Henry Seth",Surgery,68
526,"Sampson, John Howard",Surgery,68
527,"Nair, Smita Kesavan",Surgery,68
528,"Reap, Elizabeth",Surgery,68
529,"Tedder, Thomas Fletcher",Immunology,33
530,"Dannull, Jens O.",Surgery,68
531,"Kuan, Chien-Tsun",Pathology,47
532,"Weinhold, Kent James",Surgery,68
533,"Arcidiacono, Peter S.",Economics,24
534,"Khan, Shakeeb",Economics,24
535,"Vigdor, Jacob L.",Sanford School of Public Policy,61
536,"Hotz, V. Joseph",Economics,24
537,"Arepally, Gowthami Morey",Medicine,39
538,"Wiesner, Mark",Civil and Environmental Engineering,12
539,"Welsby, Ian James",Anesthesiology,2
540,"Palmer Jr., Scott Michael",Medicine,39
541,"Ariely, Dan",Fuqua School of Business,30
542,"Luce, Mary Frances",Fuqua School of Business,30
543,"Cohen, Harvey Jay",Medicine,39
544,"Whitson, Heather Elizabeth",Medicine,39
545,"Huber, Joel C.",Fuqua School of Business,30
546,"Shah, Ankoor",Medicine,39
547,"Arlotto, Alessandro",Fuqua School of Business,30
548,"Armaleo, Daniele",Biology,7
549,"Lutzoni, Francois M.",Biology,7
550,"Armstrong, Andrew John",Medicine,39
551,"Garcia-Blanco, Mariano Agustin",Molecular Genetics and Microbiology,40
552,"Madden, John Francis",Pathology,47
553,"Freedland, Stephen Jay",Surgery,68
554,"Koontz, Bridget Fey",Radiation Oncology,57
555,"Lee, William Robert",Radiation Oncology,57
556,"Moul, Judd Wendell",Surgery,68
557,"Polascik, Thomas James",Surgery,68
558,"Robertson, Cary Nobles",Surgery,68
